,,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,FM_1,FM_2,FM_3,FM_4,FM_5,FM_6,FM_7,FM_8,FM_9,FM_10,FM_11,FM_12,FM_13,FM_14,FM_15,FM_16,FM_17,FM_18,FM_19,FM_20,FM_21,FM_22,FM_23,FM_24,FM_25,FM_26,FM_27,FM_28,FM_29,FM_30,FM_31,FM_32,FM_33,FM_34,FM_35,FM_36,FM_37,FM_38,FM_39,FM_40,FM_41,FM_42,FM_43,FM_44,FM_45,FM_46,FM_47,FM_48,FM_49,FM_50,FM_51,FM_52,FM_53,FM_54,FM_55,FM_56,FM_57,FM_58,FM_59,FM_60,FM_61,FM_62,FM_63,FM_64,FM_65,FM_66,FM_67,FM_68,FM_69,FM_70,FM_71,FM_72,FM_73,FM_74,FM_75,FM_76,FM_77,FM_78,FM_79
1,get_array_value,1,1,0,1,1,1,1,0.807265621684405,0.555939062891676,0.807265621684405,0.807265621684405,0.526624630442324,0.563989631548299,0.64605690849023,0.807265621684405,0.807265621684405,0.735441131750295,0.807265621684405,0.807265621684405,0.666342952086553,0.807265621684405,0.756910095949203,0.807265621684405,0.807265621684405,0.807265621684405,0.807265621684405,0.546292405971111,0.807265621684405,0.61297681575604,0.666342952086553,0.64605690849023,0.693073462561296,0.807265621684405,0.807265621684405,0.902490937294255,0.834476958844277,0.64605690849023,0.709414790187386,0.807265621684405,0.709414790187386,0.62835847240627,0.666342952086553,0.562236961943521,0.526624630442324,0.807265621684405,0.902490937294255,0.834476958844277,0.995482802013692,0.834476958844277,0.693073462561296,0.934712173843986,0.693073462561296,0.807265621684405,0.693073462561296,0.48434496170808,0.64605690849023,0.807265621684405,0.902490937294255,0.807265621684405,0.834476958844277,0.735441131750295,0.693073462561296,0.756910095949203,0.530158889547867,0.735441131750295,0.64605690849023,0.807265621684405,0.807265621684405,0.807265621684405,0.807265621684405,0.709414790187386,0.834476958844277,0.666342952086553,0.693073462561296,0.693073462561296,0.902490937294255,0.469899698503185,0.807265621684405,0.807265621684405,0.807265621684405,0.693073462561296,0.563989631548299,0.66144860139304,0.639157723858626,0.695130469989595
2,polevl,1,1,0,1,1,1,0.807265621684405,1,0.926485849472315,1,1,0.904860694194955,0.930807549048667,0.967959286414213,1,1,0.990140801547911,1,1,0.971878666391148,1,0.995553343655889,1,1,1,1,0.915791055417483,1,0.951645622325089,0.971878666391148,0.967959286414213,0.980794451771509,1,1,0.976896459676743,0.996116251006088,0.967959286414213,0.98555994353765,1,0.98555994353765,0.957575245530436,0.971878666391148,0.924272445496362,0.904860694194955,1,0.976896459676743,0.996116251006088,0.836987500744219,0.996116251006088,0.980794451771509,0.904856663489415,0.980794451771509,1,0.980794451771509,0.877607457636336,0.967959286414213,1,0.976896459676743,1,0.996116251006088,0.990140801547911,0.980794451771509,0.995553343655889,0.905735085615258,0.990140801547911,0.967959286414213,1,1,1,1,0.98555994353765,0.996116251006088,0.971878666391148,0.980794451771509,0.980794451771509,0.976896459676743,0.868753994034815,1,1,1,0.980794451771509,0.930807549048667,0.971480937167555,0.964090969784691,0.984691593566743
3,winsorizedMean,1,1,0,0,1,1,0.555939062891676,0.926485849472315,1,0.926485849472315,0.926485849472315,0.997525057473371,0.999840375988037,0.990363609283103,0.926485849472315,0.926485849472315,0.965602999433997,0.926485849472315,0.926485849472315,0.988371853704899,0.926485849472315,0.955916929478508,0.926485849472315,0.926485849472315,0.926485849472315,0.926485849472315,0.998602827883289,0.926485849472315,0.996488328895534,0.988371853704899,0.990363609283103,0.981507726754748,0.926485849472315,0.926485849472315,0.828889878575634,0.90946041481209,0.990363609283103,0.972949675946704,0.926485849472315,0.972949675946704,0.995250988901842,0.988371853704899,0.999261543662341,0.997525057473371,0.926485849472315,0.828889878575634,0.90946041481209,0.591771707298702,0.90946041481209,0.981507726754748,0.69091731338058,0.981507726754748,0.926485849472315,0.981507726754748,0.991523898171907,0.990363609283103,0.926485849472315,0.828889878575634,0.926485849472315,0.90946041481209,0.965602999433997,0.981507726754748,0.955916929478508,0.997475954577201,0.965602999433997,0.990363609283103,0.926485849472315,0.926485849472315,0.926485849472315,0.926485849472315,0.972949675946704,0.90946041481209,0.988371853704899,0.981507726754748,0.981507726754748,0.828889878575634,0.989364995033019,0.926485849472315,0.926485849472315,0.926485849472315,0.981507726754748,0.999840375988037,0.988215728838855,0.991830863253039,0.967584628471645
4,find_diff,0,0,0,0,0,0,0.807265621684405,1,0.926485849472315,1,1,0.904860694194955,0.930807549048667,0.967959286414213,1,1,0.990140801547911,1,1,0.971878666391148,1,0.995553343655889,1,1,1,1,0.915791055417483,1,0.951645622325089,0.971878666391148,0.967959286414213,0.980794451771509,1,1,0.976896459676743,0.996116251006088,0.967959286414213,0.98555994353765,1,0.98555994353765,0.957575245530436,0.971878666391148,0.924272445496362,0.904860694194955,1,0.976896459676743,0.996116251006088,0.836987500744219,0.996116251006088,0.980794451771509,0.904856663489415,0.980794451771509,1,0.980794451771509,0.877607457636336,0.967959286414213,1,0.976896459676743,1,0.996116251006088,0.990140801547911,0.980794451771509,0.995553343655889,0.905735085615258,0.990140801547911,0.967959286414213,1,1,1,1,0.98555994353765,0.996116251006088,0.971878666391148,0.980794451771509,0.980794451771509,0.976896459676743,0.868753994034815,1,1,1,0.980794451771509,0.930807549048667,0.971480937167555,0.964090969784691,0.984691593566743
5,sampleWeightedVariance,0,0,0,0,0,1,0.807265621684405,1,0.926485849472315,1,1,0.904860694194955,0.930807549048667,0.967959286414213,1,1,0.990140801547911,1,1,0.971878666391148,1,0.995553343655889,1,1,1,1,0.915791055417483,1,0.951645622325089,0.971878666391148,0.967959286414213,0.980794451771509,1,1,0.976896459676743,0.996116251006088,0.967959286414213,0.98555994353765,1,0.98555994353765,0.957575245530436,0.971878666391148,0.924272445496362,0.904860694194955,1,0.976896459676743,0.996116251006088,0.836987500744219,0.996116251006088,0.980794451771509,0.904856663489415,0.980794451771509,1,0.980794451771509,0.877607457636336,0.967959286414213,1,0.976896459676743,1,0.996116251006088,0.990140801547911,0.980794451771509,0.995553343655889,0.905735085615258,0.990140801547911,0.967959286414213,1,1,1,1,0.98555994353765,0.996116251006088,0.971878666391148,0.980794451771509,0.980794451771509,0.976896459676743,0.868753994034815,1,1,1,0.980794451771509,0.930807549048667,0.971480937167555,0.964090969784691,0.984691593566743
6,bubble,1,1,1,0,0,1,0.526624630442324,0.904860694194955,0.997525057473371,0.904860694194955,0.904860694194955,1,0.996490090964172,0.979451794682174,0.904860694194955,0.904860694194955,0.949778839715777,0.904860694194955,0.904860694194955,0.977883070115777,0.904860694194955,0.937932627712952,0.904860694194955,0.904860694194955,0.904860694194955,0.904860694194955,0.999237990982558,0.904860694194955,0.990332748569895,0.977883070115777,0.979451794682174,0.968854884173449,0.904860694194955,0.904860694194955,0.799872928812595,0.887049314936633,0.979451794682174,0.957251386968031,0.904860694194955,0.957251386968031,0.988217680815047,0.977883070115777,0.998754454840702,1,0.904860694194955,0.799872928812595,0.887049314936633,0.560178407233414,0.887049314936633,0.968854884173449,0.653657939676244,0.968854884173449,0.904860694194955,0.968854884173449,0.997893375479173,0.979451794682174,0.904860694194955,0.799872928812595,0.904860694194955,0.887049314936633,0.949778839715777,0.968854884173449,0.937932627712952,0.999916468123596,0.949778839715777,0.979451794682174,0.904860694194955,0.904860694194955,0.904860694194955,0.904860694194955,0.957251386968031,0.887049314936633,0.977883070115777,0.968854884173449,0.968854884173449,0.799872928812595,0.996793197578657,0.904860694194955,0.904860694194955,0.904860694194955,0.968854884173449,0.996490090964172,0.977314894476134,0.982335303495308,0.949065241068468
7,g,0,1,0,1,1,1,0.563989631548299,0.930807549048667,0.999840375988037,0.930807549048667,0.930807549048667,0.996490090964172,1,0.991927181382809,0.930807549048667,0.930807549048667,0.968320920414211,0.930807549048667,0.930807549048667,0.990025367038596,0.930807549048667,0.959513750165102,0.930807549048667,0.930807549048667,0.930807549048667,0.930807549048667,0.998045526154332,0.930807549048667,0.997258329392515,0.990025367038596,0.991927181382809,0.983696853131666,0.930807549048667,0.930807549048667,0.835064445535733,0.91420580598015,0.991927181382809,0.975816532007886,0.930807549048667,0.975816532007886,0.996211034851712,0.990025367038596,0.998754567629732,0.996490090964172,0.930807549048667,0.835064445535733,0.91420580598015,0.599990379151162,0.91420580598015,0.983696853131666,0.699458495531449,0.983696853131666,0.930807549048667,0.983696853131666,0.989815988120355,0.991927181382809,0.930807549048667,0.835064445535733,0.930807549048667,0.91420580598015,0.968320920414211,0.983696853131666,0.959513750165102,0.99645551435366,0.968320920414211,0.991927181382809,0.930807549048667,0.930807549048667,0.930807549048667,0.930807549048667,0.975816532007886,0.91420580598015,0.990025367038596,0.983696853131666,0.983696853131666,0.835064445535733,0.987340021871485,0.930807549048667,0.930807549048667,0.930807549048667,0.983696853131666,1,0.989961391670494,0.99328718825286,0.970818473223815
8,variance,1,1,1,0,0,1,0.64605690849023,0.967959286414213,0.990363609283103,0.967959286414213,0.967959286414213,0.979451794682174,0.991927181382809,1,0.967959286414213,0.967959286414213,0.990883768505233,0.967959286414213,0.967959286414213,0.999165932742655,0.967959286414213,0.986352739505715,0.967959286414213,0.967959286414213,0.967959286414213,0.967959286414213,0.984476281464522,0.967959286414213,0.997187027243956,0.999165932742655,1,0.997913674839924,0.967959286414213,0.967959286414213,0.894533884695149,0.955085440214153,1,0.9949969822159,0.967959286414213,0.9949969822159,0.998249848439692,0.999165932742655,0.987909603126298,0.979451794682174,0.967959286414213,0.894533884695149,0.955085440214153,0.682713052152779,0.955085440214153,0.997913674839924,0.779461545790309,0.997913674839924,0.967959286414213,0.997913674839924,0.965170931370449,1,0.967959286414213,0.894533884695149,0.967959286414213,0.955085440214153,0.990883768505233,0.997913674839924,0.986352739505715,0.979562333704382,0.990883768505233,1,0.967959286414213,0.967959286414213,0.967959286414213,0.967959286414213,0.9949969822159,0.955085440214153,0.999165932742655,0.997913674839924,0.997913674839924,0.894533884695149,0.960443033347688,0.967959286414213,0.967959286414213,0.967959286414213,0.997913674839924,0.991927181382809,0.999404705174038,0.99924436916506,0.992723595781389
9,evaluateHoners,1,1,0,1,1,1,0.807265621684405,1,0.926485849472315,1,1,0.904860694194955,0.930807549048667,0.967959286414213,1,1,0.990140801547911,1,1,0.971878666391148,1,0.995553343655889,1,1,1,1,0.915791055417483,1,0.951645622325089,0.971878666391148,0.967959286414213,0.980794451771509,1,1,0.976896459676743,0.996116251006088,0.967959286414213,0.98555994353765,1,0.98555994353765,0.957575245530436,0.971878666391148,0.924272445496362,0.904860694194955,1,0.976896459676743,0.996116251006088,0.836987500744219,0.996116251006088,0.980794451771509,0.904856663489415,0.980794451771509,1,0.980794451771509,0.877607457636336,0.967959286414213,1,0.976896459676743,1,0.996116251006088,0.990140801547911,0.980794451771509,0.995553343655889,0.905735085615258,0.990140801547911,0.967959286414213,1,1,1,1,0.98555994353765,0.996116251006088,0.971878666391148,0.980794451771509,0.980794451771509,0.976896459676743,0.868753994034815,1,1,1,0.980794451771509,0.930807549048667,0.971480937167555,0.964090969784691,0.984691593566743
10,durbinWatson,0,1,0,0,0,0,0.807265621684405,1,0.926485849472315,1,1,0.904860694194955,0.930807549048667,0.967959286414213,1,1,0.990140801547911,1,1,0.971878666391148,1,0.995553343655889,1,1,1,1,0.915791055417483,1,0.951645622325089,0.971878666391148,0.967959286414213,0.980794451771509,1,1,0.976896459676743,0.996116251006088,0.967959286414213,0.98555994353765,1,0.98555994353765,0.957575245530436,0.971878666391148,0.924272445496362,0.904860694194955,1,0.976896459676743,0.996116251006088,0.836987500744219,0.996116251006088,0.980794451771509,0.904856663489415,0.980794451771509,1,0.980794451771509,0.877607457636336,0.967959286414213,1,0.976896459676743,1,0.996116251006088,0.990140801547911,0.980794451771509,0.995553343655889,0.905735085615258,0.990140801547911,0.967959286414213,1,1,1,1,0.98555994353765,0.996116251006088,0.971878666391148,0.980794451771509,0.980794451771509,0.976896459676743,0.868753994034815,1,1,1,0.980794451771509,0.930807549048667,0.971480937167555,0.964090969784691,0.984691593566743
