,Method_Name,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,VC_1,VC_2,VC_3,VC_4,VC_5,VC_6,VC_7,VC_8,VC_9,VC_10,VC_11,VC_12,VC_13,VC_14,VC_15,VC_16,VC_17,VC_18,VC_19,VC_20,VC_21,VC_22,VC_23,VC_24,VC_25,VC_26,VC_27,VC_28,VC_29,VC_30,VC_31,VC_32,VC_33,VC_34,VC_35,VC_36,VC_37,VC_38,VC_39,VC_40,VC_41,VC_42,VC_43,VC_44,VC_45,VC_46,VC_47,VC_48,VC_49,VC_50,VC_51,VC_52,VC_53,VC_54,VC_55,VC_56,VC_57,VC_58,VC_59,VC_60,VC_61,VC_62,VC_63,VC_64,VC_65,VC_66,VC_67,VC_68,VC_69,VC_70,VC_71,VC_72,VC_73,VC_74,VC_75,VC_76,VC_77,VC_78,VC_79,VC_80,VC_81,VC_82,VC_83,VC_84,VC_85,VC_86,VC_87,VC_88,VC_89,VC_90,VC_91,VC_92,VC_93,VC_94,VC_95,VC_96,VC_97,VC_98,VC_99,VC_100
1,get_array_value,1,1,0,1,1,1,0.834828,1.3212273,0.35627705,0.16094364,-0.72724015,-1.0771428,-0.95656914,-0.8862336,-0.2944793,0.8884957,-0.6484684,-1.0035961,-0.00001095701,-0.21604523,-0.84199494,0.9177138,-0.9372392,1.9849498,-0.7646537,1.8553843,2.002146,-0.61579454,-0.5907304,-0.9353876,0.7266128,-0.8234597,0.5107204,0.13024083,-0.8012749,-0.7475463,-0.3496784,-0.77784634,0.05148131,-0.28681776,-0.45296067,-0.40579373,2.08524,-0.3256042,-0.73789024,-0.45675763,-0.66512877,-0.6126296,-0.5095562,2.028167,0.23517205,1.4100482,0.0760765,0.31244913,-0.19378826,0.18881033,1.3118199,1.9941034,-0.22668886,-0.5225427,-0.7356581,-1.1157572,-0.98638076,0.54440844,-0.27904582,0.23293532,-0.26505852,-0.16784528,0.2642758,-0.71953917,-0.41677284,-0.9194402,-0.9243198,-0.7316192,-0.42373753,-0.48121515,1.097159,-0.74693286,-0.5083003,0.8237695,0.97190773,0.0071425233,-0.12015967,-0.47785994,-0.3077309,0.8753358,0.8030251,-0.21359025,-0.44608033,-0.6642021,-0.7400282,-0.8289668,-0.42991444,0.04144221,-0.045297634,1.3088086,-1.0087359,1.0277753,0.52960277,0.84390527,0.18615568,-0.29602823,-0.07645103,0.93478554,0.2228019,-0.64362675
2,polevl,1,1,0,1,1,1,1.8602977,0.70779103,1.2159113,0.25944898,-0.85631055,-1.1382363,-0.91642165,-0.8911557,-0.43264994,1.0155736,-0.65296626,-1.0158746,0.0885428,-0.12322234,-0.97502136,1.4099975,-0.8683579,2.068093,-0.87788284,1.615976,2.572332,-0.6197006,-0.72620493,-0.96379584,0.7128938,-0.9957502,0.70184606,0.22386087,-0.81021214,-0.7613213,0.07806213,-0.95227873,-0.05965,-0.13961914,-0.63151455,-0.48934135,1.246485,-0.35961756,-0.89813733,-0.5219818,-0.64423776,-0.6359907,-0.51471347,2.8784568,0.85353136,1.8147613,-0.29752463,0.1996573,-0.54125094,0.10067833,2.0909233,1.8698065,0.31191388,-0.3222001,-0.77003205,-1.1915718,-1.1265733,1.0675049,-0.48349515,0.883547,-0.31849223,-0.27737144,0.7758734,-0.62602216,-0.29968643,-0.8700403,-0.9063333,-0.5841459,-0.46608824,-0.51996505,1.2762624,-0.84470195,-0.44720858,1.0218912,1.1550461,-0.07231051,-0.14436051,-0.45957255,-0.55708563,1.1770097,0.858706,-0.16808599,-0.56033486,-0.8730645,-0.94978,-0.9269626,-0.43949717,0.5510384,-0.54267675,2.5152912,-1.1204021,1.2360766,0.6081308,1.6489761,0.2824087,-0.35137177,-0.26663545,1.6201386,0.5043625,-0.97137517
3,winsorizedMean,1,1,0,0,1,1,1.3086331,1.8416158,0.9818569,0.419899,-0.8386039,-1.2300148,-1.3550454,-0.89144987,-0.5134148,1.3564512,-0.86717296,-1.1667528,0.009094218,-0.09119222,-1.1759697,1.0125185,-1.0616996,2.7448807,-0.8479219,1.599813,3.0460827,-0.6664493,-0.6254491,-1.027366,1.4844711,-1.2658098,0.787148,-0.07158234,-0.84504724,-0.96216863,0.2208827,-0.23556699,-0.17679457,-0.31002414,-0.52812076,-0.51849914,1.6893741,-0.5435598,-1.139794,-0.6523398,-0.70773613,-0.5404847,-0.5226403,3.4997783,0.68548346,1.4745489,-0.17866696,1.0214357,-0.6481662,0.49407375,2.0041354,1.9337777,0.11105456,-0.24288282,-0.93909895,-1.3086807,-1.1278886,0.929307,-0.4518851,0.68710333,-0.17556085,-0.25314087,0.3682064,-0.65117645,-0.43348697,-0.9627793,-1.0461504,-0.84845996,-0.5120949,-0.6415097,1.1317096,-1.0585724,-0.5938513,0.78433645,1.1025465,-0.54252607,0.16841047,-0.5701782,-0.49097165,1.3848475,0.88946366,-0.36971456,-0.5298737,-0.8490552,-1.023419,-1.0675133,-0.47316858,0.601757,-0.045616657,1.9318537,-1.2194357,1.6274896,0.4155373,0.69873047,0.9248587,-0.4362211,0.018851092,1.2938223,-0.28042167,-0.91526055
4,find_diff,0,0,0,0,0,0,0.9958792,0.955217,1.5741012,0.18602736,-0.91339517,-1.2055044,-0.9249019,-0.8209627,-0.36856288,0.8159887,-0.74592865,-1.0777366,0.032399468,-0.103940025,-0.9908461,2.2224207,-1.0806314,1.7003008,-0.9625911,1.471542,3.549709,-0.54966986,-0.8629297,-0.9590981,0.4779914,-1.0757579,0.6134065,0.3746206,-0.834813,-0.7173348,-0.3276334,-1.0497986,-0.14817831,0.21755964,-0.5514369,-0.52048796,1.2920244,-0.5251238,-0.9031268,-0.54930145,-0.6868877,-0.5842471,-0.49391448,3.671394,0.43157303,1.4212298,-0.3189086,0.28962898,-0.48844245,0.08608657,1.4990824,1.513452,0.1722873,-0.37242547,-0.77945393,-1.2646987,-1.2907075,0.68525195,-0.43791577,0.79011375,-0.3060963,-0.26953316,0.4045599,-0.7125703,-0.45172086,-0.9079295,-0.9743551,-0.64227146,-0.4863871,-0.4984541,2.109696,-0.8462516,-0.5124951,0.4157259,1.5249805,-0.24459295,-0.40509304,-0.6231544,-0.42193475,1.3954266,0.44452327,-0.21639292,-0.6282322,-0.90867877,-1.081062,-0.93907106,-0.4632348,0.2823777,-0.57051396,1.8095459,-1.2331465,1.5747739,0.62399787,1.2467601,0.7935895,-0.40688068,-0.088210195,1.2877989,0.31101185,-1.0160445
5,sampleWeightedVar,0,0,0,0,0,1,1.3344252,1.3159609,1.000839,0.07366887,-0.81281596,-1.1434919,-1.2151563,-0.85595655,-0.4765704,1.0250732,-0.78284526,-1.1626672,-0.17820987,-0.17285612,-1.0714157,1.4721336,-1.0108207,2.0423203,-0.87760216,1.3147501,3.511218,-0.55388355,-0.81384736,-0.96059966,0.9321885,-1.2138137,0.47745758,0.06975874,-0.7899863,-0.81900024,0.30520096,-0.4379072,-0.15772527,-0.11456288,-0.5735302,-0.5929236,1.0763053,-0.47910458,-1.0010934,-0.6263694,-0.74482214,-0.4487901,-0.48949558,3.2042964,1.0342703,1.389964,-0.23265226,0.77468723,-0.52652925,0.029200297,1.6583006,1.8162653,-0.15570977,-0.20579395,-0.82835484,-1.2527589,-1.177729,0.50902367,-0.47789752,0.58864623,-0.11605574,-0.31645653,0.5623642,-0.68856,-0.44903058,-0.9779034,-0.98630315,-0.7642242,-0.49432957,-0.57466567,1.8145195,-0.9537067,-0.5061592,0.84704727,1.1943108,-0.4095442,-0.06471477,-0.4003711,-0.5494181,1.2030847,0.7598791,-0.31938854,-0.6135244,-0.9067545,-1.1499513,-1.031257,-0.45231485,0.7473937,-0.4443919,1.8051149,-1.228573,1.4923905,0.41981846,1.4637338,0.8009026,-0.39541674,-0.0640086,1.0803097,0.22889046,-0.92207366
6,bubble,1,1,1,0,0,1,1.4084635,0.9705821,1.3375949,0.29602945,-0.9176396,-1.232008,-0.97408473,-0.8956089,-0.41426116,0.79447794,-0.7225893,-1.0977802,0.16930108,-0.084714584,-1.0484282,1.7877147,-0.8739464,2.259379,-0.9089246,1.7771976,3.0105917,-0.5835278,-0.8637615,-1.0010307,0.50096685,-1.045136,0.48566312,0.24152765,-0.83972627,-0.7559198,-0.25320357,-0.98356855,0.050720375,-0.008120166,-0.55154425,-0.49881068,1.5415665,-0.28431854,-0.9550416,-0.6374649,-0.70343995,-0.6130266,-0.5095613,3.197507,0.5519915,2.2054462,-0.3437316,0.10659884,-0.4757194,0.14365178,2.678754,1.8374492,0.27154428,-0.338898,-0.8207593,-1.2931592,-1.2639501,0.7205212,-0.4775224,0.8426794,-0.30976078,-0.14850971,0.5285372,-0.7225567,-0.42835084,-0.9001199,-0.9914775,-0.67191875,-0.48665705,-0.52942383,1.6318488,-0.87256664,-0.5425946,0.70532924,1.5527084,-0.25001627,-0.5284874,-0.6221061,-0.414188,1.3317311,0.5228135,-0.18722641,-0.56589687,-0.938105,-0.9206733,-0.9763804,-0.5102836,0.25040218,-0.4337392,2.0516675,-1.1826409,1.3565732,0.3597465,1.4366082,0.5420535,-0.35021913,-0.20592684,1.4756454,0.5180252,-1.0252426
7,g_Test,0,1,0,1,1,1,1.2244322,1.4261243,0.9606452,0.35506567,-0.7980653,-1.1470938,-1.1999359,-0.895186,-0.49432018,1.2270094,-0.76876986,-1.0956591,0.041622706,-0.15888125,-1.0288106,1.1787162,-1.0215229,2.2419627,-0.8530962,1.4882897,3.028106,-0.6238117,-0.5905925,-0.9855795,1.1087834,-1.1245826,0.60479504,-0.01660788,-0.8116755,-0.8515838,0.26531833,-0.3959685,-0.22437868,-0.26582748,-0.5512824,-0.5032912,1.4289851,-0.5092652,-1.0400043,-0.6372895,-0.6994014,-0.5202391,-0.51346105,2.9445484,0.7960059,1.2066698,-0.1660732,0.7200247,-0.5727508,0.4333251,1.512159,1.7984567,0.12919886,-0.2620342,-0.66415185,-1.1288052,-1.1159526,0.75947714,-0.44652876,0.62529755,-0.19700529,-0.27308667,0.50823367,-0.5901066,-0.41605127,-0.9162057,-0.9475862,-0.7414421,-0.47594237,-0.6155178,1.3114411,-0.94839936,-0.51697177,0.65170133,1.0185145,-0.48078483,0.10454952,-0.49824312,-0.4622388,1.170573,1.024401,-0.24551357,-0.56306845,-0.823253,-0.99752474,-0.98831266,-0.44560292,0.6631419,-0.12724277,1.7802112,-1.1648762,1.3954918,0.47176406,1.024893,0.7668738,-0.41866395,-0.05240536,1.1721257,-0.03471831,-0.9148188
8,variance,1,1,1,0,0,1,1.2654529,1.4944029,1.0142841,0.6240262,-0.78806776,-1.1501596,-1.2162874,-0.9206879,-0.5404665,1.4254225,-0.792908,-1.0249419,0.20238407,-0.1358315,-1.0871377,0.7772429,-0.9182556,2.6981277,-0.82684684,1.5714971,2.4849443,-0.6744964,-0.44816136,-0.9880566,1.3359816,-1.1034538,0.72403866,-0.15315188,-0.8366794,-0.8489423,0.35276932,-0.34898818,-0.2649566,-0.3561123,-0.53994834,-0.4518153,1.7788411,-0.5520343,-1.0725632,-0.6425989,-0.63990885,-0.6987416,-0.5204123,2.8499613,0.6069985,1.4753684,-0.23749375,0.62401694,-0.76099896,0.74298894,1.8131893,1.8178651,0.36181572,-0.3561411,-0.83745164,-1.1576923,-1.0670202,0.94731444,-0.5044601,0.713707,-0.18314819,-0.26216903,0.43667108,-0.5133716,-0.34653544,-0.8522781,-0.9281809,-0.7593326,-0.49335662,-0.6549711,0.65272975,-0.9761507,-0.53446853,0.6298841,0.8343627,-0.5706938,0.21323226,-0.5087325,-0.509605,1.160234,1.1473986,-0.29048,-0.50338084,-0.7976167,-0.9165777,-0.9447092,-0.47007418,0.6362711,0.022165526,1.8736705,-1.0962324,1.3030103,0.48626095,0.8310394,0.63863957,-0.4198151,-0.060294747,1.2531669,-0.014324219,-0.938356
9,evaluateHoners,1,1,0,1,1,1,1.6763016,0.6417813,0.9316669,0.36615142,-0.77175385,-1.18612,-0.93493825,-0.92080224,-0.3956229,1.1143906,-0.6182012,-0.96673197,0.08543506,-0.14912717,-0.9263404,1.4545554,-0.84827393,2.5502727,-0.82880914,1.7857785,2.3729393,-0.61083364,-0.65519845,-0.9804589,0.7131213,-0.967395,0.45427614,0.07882351,-0.7831057,-0.6752897,0.05826935,-0.7930803,-0.06480112,-0.19502659,-0.6691878,-0.48144168,1.8024086,-0.26614985,-0.84745896,-0.36122745,-0.71326345,-0.65745455,-0.54037994,2.6227357,0.9686885,1.7410179,-0.03963372,0.03500356,-0.52955675,0.18214029,1.8928005,2.2421045,0.18008101,-0.3065966,-0.8226988,-1.1667074,-1.0969301,0.77360094,-0.35191858,0.637679,-0.30958873,-0.21788542,0.678432,-0.5359777,-0.35301232,-0.8896992,-0.9167839,-0.6510936,-0.47866827,-0.53788126,1.2252219,-0.8478334,-0.53252333,0.9147333,1.2047336,0.022286735,-0.1570616,-0.34118965,-0.6411351,0.84848386,0.8916904,-0.25861543,-0.519927,-0.8503461,-0.94996583,-0.87987685,-0.46730292,0.5080122,-0.5250091,2.2059324,-1.1171695,1.139537,0.5548111,1.7601036,0.042284258,-0.33386493,-0.2365985,1.6248543,0.56548804,-0.86746716
10,durbinWatson,0,1,0,0,0,0,1.1144289,0.749498,1.0010178,0.24402085,-0.7480495,-1.060315,-0.9858854,-0.8701678,-0.47668245,0.8334044,-0.6896626,-0.9836466,0.03774119,-0.15961272,-0.9709773,1.1732571,-0.9433603,1.9468936,-0.7135517,1.3967187,2.4449842,-0.5728875,-0.259905,-0.96127295,0.5599313,-0.9606525,0.41139743,-0.064142585,-0.7938365,-0.69166327,-0.09308826,-0.94829595,-0.14102024,-0.2115109,-0.5610074,-0.49240974,1.3431579,-0.5334537,-0.88769966,-0.52324384,-0.65370333,-0.55634964,-0.5082224,2.4784913,0.79041636,1.3194957,-0.18040332,0.11826068,-0.48018157,0.07331528,1.5002855,1.9127022,0.15502286,-0.27042097,-0.69708097,-1.1365663,-1.0217113,0.5749025,-0.40461656,0.60385597,-0.12143548,-0.26006097,0.62899995,-0.5514751,-0.43116558,-0.7878142,-0.8577329,-0.71753854,-0.4972891,-0.585811,1.1872463,-0.8140313,-0.48616564,0.7821721,0.80530643,-0.38386372,0.36704907,-0.5163663,-0.4845082,0.98481256,1.0837885,-0.3024094,-0.5429436,-0.7464592,-0.9044293,-0.8453069,-0.4448238,0.33530107,-0.40739742,1.7772137,-1.023892,1.2262378,0.44960102,1.0188494,0.36395517,-0.406334,-0.1148922,1.021979,0.19564323,-0.87517935
