,dot_name,Unnamed: 2,FM_12,FM_65,FM_53,FM_55,FM_20,FM_48,FM_59,FM_35,FM_95,FM_43,FM_69,FM_100,FM_46,FM_7,FM_96,FM_45,FM_29,FM_16,FM_47,FM_6,FM_91,FM_99,FM_63,FM_82,FM_51,FM_75,FM_18,FM_21,FM_98,FM_4,FM_73,FM_15,FM_24,FM_71,FM_14,FM_36,FM_13,FM_78,FM_42,FM_37,FM_83,FM_93,FM_64,FM_66,FM_2,FM_31,FM_74,FM_30,FM_27,FM_77,FM_17,FM_56,FM_41,FM_8,FM_34,FM_19,FM_57,FM_52,FM_68,FM_87,FM_10,FM_97,FM_11,FM_1,FM_33,FM_61,FM_9,FM_49,FM_67,FM_58,FM_39,FM_70,FM_25,FM_60,FM_76,FM_5,FM_54,FM_90,FM_84,FM_32,FM_22,FM_85,FM_3,FM_80,FM_86,FM_23,FM_28,FM_92,FM_88,FM_26,FM_50,FM_94,FM_38,FM_40,FM_89,FM_81,FM_79,FM_72,FM_44,FM_62,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,Method_Name
0,add_values,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/add_values,0.0,0.0,0.0,0.1,0.0,0.0866666666666667,0.0,0.0944444444444444,0.0,0.0,0.0,0.0,0.0928571428571429,0.0942857142857143,0.0,0.0,0.0,0.0979166666666667,0.0900000000000001,0.109287925696594,0.0,0.0,0.0,0.0,0.0954545454545455,0.0846153846153846,0.0976190476190476,0.166666666666667,0.0,0.0,0.0,0.0,0.0947368421052632,0.0,0.0909090909090909,0.0944444444444444,0.0909090909090909,0.0,0.0,0.09375,0.181818181818182,0.0,0.0,0.0888888888888889,0.0923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0846153846153846,0.0,0.0,0.09375,0.409090909090909,0.0,0.363636363636364,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0875,0.0,0.363636363636364,0.0,0.0894736842105263,0.0,0.0,0.181818181818182,0.0,0.0947368421052632,0.0857142857142857,0.533333333333333,0.163636363636364,0.363636363636364,0.0,0.409090909090909,0.363636363636364,0.0909090909090909,0.0,0.0918803418803419,0.0,0.0846153846153846,0.0,0.0909090909090909,0.0,0.0950000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0916666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,add_values
1,array_calc,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/array_calc,0.0,0.0,0.0,0.167832167832168,0.0,0.0666666666666667,0.0,0.0726495726495726,0.0,0.0,0.0064102564102564,0.0663214990138068,0.142857142857143,0.145054945054945,0.0,0.0,0.0,0.0753205128205128,0.0692307692307692,0.168135270302453,0.0,0.0,0.0,0.0,0.0734265734265735,0.0710059171597633,0.15018315018315,0.153846153846154,0.0,0.06993006993007,0.0,0.0,0.0728744939271255,0.0,0.0,0.0726495726495726,0.0,0.006631299734748,0.0,0.0721153846153846,0.06993006993007,0.0,0.0,0.0683760683760684,0.857988165680474,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0721153846153846,0.0839160839160839,0.0,0.0839160839160839,0.0758312200619893,0.0,0.0,0.0,0.0,0.0923076923076923,0.0,0.0673076923076923,0.0,0.0839160839160839,0.0,0.0688259109311741,0.0,0.0,0.167832167832168,0.0,0.0728744939271255,0.0659340659340659,0.0666666666666667,0.0839160839160839,0.167832167832168,0.0,0.0839160839160839,0.167832167832168,0.0839160839160839,0.0,0.0706771860618015,0.0,0.14792899408284,0.133333333333333,0.0,0.0,0.146153846153846,0.0,0.0,0.0,0.0,0.0,0.0089445438282647,0.0769230769230769,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,array_calc
2,array_copy,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/array_copy,0.0,0.0795454545454545,0.0,0.0826446280991736,0.0,0.157575757575758,0.0,0.0858585858585859,0.0,0.0,0.0,0.0,0.0844155844155844,0.0857142857142857,0.0,0.0,0.0,0.0890151515151515,0.163636363636364,0.0993526597241767,0.0082644628099173,0.0,0.0,0.0,0.0867768595041322,0.153846153846154,0.0887445887445888,0.0757575757575757,0.0,0.0,0.0,0.0,0.0861244019138756,0.0,0.0082644628099173,0.0858585858585859,0.0082644628099173,0.0,0.0,0.0852272727272727,0.0826446280991736,0.0,0.0,0.0808080808080808,0.0839160839160839,0.0,0.0,0.0,0.0779220779220779,0.0,0.0,0.0769230769230769,0.0787878787878788,0.0,0.0852272727272727,0.165289256198347,0.012987012987013,0.165289256198347,0.0,0.0,0.0,0.0,0.175084175084175,0.0909090909090909,0.0,0.159090909090909,0.0,0.165289256198347,0.0,0.0813397129186603,0.0,0.090909090909091,0.0826446280991736,0.0,0.0861244019138756,0.0909090909090909,0.0787878787878788,0.0826446280991736,0.165289256198347,0.0,0.165289256198347,0.165289256198347,0.834710743801651,0.0,0.0835275835275836,0.0,0.0769230769230769,0.0,0.0082644628099173,0.0779220779220779,0.0863636363636364,0.0,0.0774410774410774,0.0,0.0798898071625344,0.0,0.0,0.0,0.0836101398601398,0.0779220779220779,1.0,1.0,0.0,0.0,0.0,1.0,array_copy
3,autoCorrelation,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/autoCorrelation,0.0436363636363636,0.0568181818181818,0.0402892561983471,0.0826446280991736,0.0404040404040404,0.0,0.0400432900432901,0.0,0.0402819087029614,0.113636363636364,0.0,0.0783799533799534,0.0,0.0,0.0,0.06993006993007,0.0395256916996047,0.0,0.0,0.0478468899521531,0.0826446280991736,0.053475935828877,0.06993006993007,0.0,0.0433884297520661,0.0,0.0432900432900433,0.0757575757575757,0.0432900432900433,0.834710743801659,0.0909090909090909,0.0909090909090909,0.0,0.0406698564593301,0.0826446280991736,0.0,0.0826446280991736,0.0415360501567398,0.170454545454545,0.0,0.0,0.0,0.0606060606060606,0.0,0.06993006993007,0.0505050505050505,0.0454545454545455,0.0505050505050505,0.0649350649350649,0.0445749704840613,0.0395256916996048,0.0,0.0606060606060606,0.053475935828877,0.0,0.0,0.0649350649350649,0.0,0.0896187146187146,0.0397727272727273,0.0424242424242424,0.0568181818181818,0.0437710437710438,0.0,0.0505050505050505,0.0,0.0649350649350649,0.0,0.06993006993007,0.0,0.0446524064171123,0.0405405405405406,0.0826446280991736,0.0411931818181818,0.0,0.0,0.0,0.0,0.0826446280991736,0.0505050505050505,0.0,0.0826446280991736,0.0,0.0378787878787879,0.0417637917637918,0.116161616161616,0.0,0.181818181818182,0.0826446280991736,0.0649350649350649,0.0,0.0399449035812672,0.0,0.0432900432900433,0.0399449035812672,0.038961038961039,0.040169133192389,0.151515151515151,0.12541520979021,0.0649350649350649,0.0,0.0,0.0,0.0,0.0,0.0,autoCorrelation
4,average,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/average,0.0,0.0,0.0,0.0779220779220779,0.0,0.185714285714286,0.0629251700680272,0.0674603174603175,0.0,0.0,0.0,0.0,0.0612244897959184,0.0673469387755102,0.0,0.0,0.0,0.0699404761904762,0.0642857142857143,0.078062804068996,0.168831168831169,0.0,0.0,0.0,0.0681818181818182,0.0659340659340659,0.0697278911564626,0.0714285714285714,0.0,0.0,0.0,0.0,0.0676691729323308,0.0,0.0909090909090909,0.0674603174603175,0.0909090909090909,0.0652709359605911,0.0,0.0669642857142857,0.0649350649350649,0.0,0.0,0.126984126984127,0.0659340659340659,0.0,0.0,0.0,0.0,0.0,0.0,0.131868131868132,0.0,0.0,0.0669642857142857,0.0779220779220779,0.13265306122449,0.0779220779220779,0.0,0.0625,0.0,0.0,0.0,0.0857142857142857,0.0,0.0625,0.0,0.0779220779220779,0.0,0.0639097744360902,0.0,0.135135135135135,0.0779220779220779,0.0,0.0676691729323308,0.755102040816325,0.0619047619047619,0.0779220779220779,0.0779220779220779,0.0,0.0779220779220779,0.0779220779220779,0.0909090909090909,0.0,0.0656288156288156,0.0,0.131868131868132,0.0,0.012987012987013,0.0,0.0678571428571429,0.0,0.0608465608465608,0.0,0.0627705627705628,0.0,0.0631229235880398,0.0714285714285714,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,average
5,bi_SearchFromTo,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/bi_SearchFromTo,0.0,0.0,0.0,0.198705319448353,0.0,0.072858617131063,0.0,0.0607155142758858,0.0,0.0,0.0,0.0907557354925775,0.078062804068996,0.049624060150376,0.0,0.0,0.0,0.0683049535603715,0.0473684210526316,1.19438507030644,0.0,0.0,0.0,0.0,0.0502392344497607,0.0840676351512265,0.154135338345865,0.182146542827657,0.0,0.0478468899521531,0.0,0.0,0.0575199608929444,0.0,0.0,0.0607155142758858,0.0,0.0,0.0,0.0683049535603715,0.0478468899521531,0.0,0.0,0.0607155142758858,0.168135270302453,0.0,0.0,0.0,0.0,0.0,0.0,0.0840676351512265,0.0,0.0,0.0683049535603715,0.0993526597241767,0.0,0.0993526597241767,0.155653556969346,0.0,0.0,0.0,0.0,0.109287925696594,0.0,0.0683049535603715,0.0,0.0993526597241767,0.0,0.0575199608929444,0.0,0.0,0.198705319448353,0.0,0.0575199608929444,0.078062804068996,0.072858617131063,0.0993526597241767,0.198705319448353,0.0,0.0993526597241767,0.198705319448353,0.0993526597241767,0.147058823529412,0.0483580746738641,0.0,0.0840676351512265,0.072858617131063,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0910732714138286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,bi_SearchFromTo
6,bubble,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/bubble,0.0,0.0,0.0,0.0857142857142857,0.0,0.0628571428571429,0.0,0.0523809523809524,0.0,0.0,0.0785714285714286,0.0,0.0673469387755102,0.898979591836728,0.0,0.0,0.0,0.0589285714285715,0.0471428571428572,0.049624060150376,0.0,0.0,0.0,0.0,0.0454545454545455,0.0725274725274725,0.0448979591836735,0.0785714285714286,0.0,0.0,0.0,0.0,0.049624060150376,0.0,0.0,0.0523809523809524,0.0,0.0,0.0,0.0589285714285715,0.0432900432900433,0.0,0.0,0.0523809523809524,0.145054945054945,0.0,0.0,0.0,0.0,0.0,0.0,0.0725274725274725,0.0,0.0,0.0589285714285715,0.0857142857142857,0.0,0.0857142857142857,0.0,0.0,0.0,0.0,0.0,0.0942857142857143,0.0,0.0589285714285715,0.0,0.0857142857142857,0.0,0.0992481203007518,0.0,0.0,0.0857142857142857,0.0,0.049624060150376,0.0673469387755102,0.0628571428571429,0.171428571428571,0.0857142857142857,0.0,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0,0.135632885632886,0.0,0.0725274725274725,0.0628571428571429,0.0,0.0,0.235714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,bubble
7,cal_AbsoluteDiff,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/cal_AbsoluteDiff,0.0564705882352941,0.0620404411764706,0.052139037433155,0.0,0.0522875816993464,0.0,0.0518207282913165,0.0,0.0521295289097147,0.0620404411764706,0.0,0.0507164404223228,0.0,0.0,0.0,0.0763574660633484,0.051150895140665,0.0,0.0,0.0,0.0902406417112299,0.0583910034602076,0.0763574660633484,0.0,0.0,0.0,0.0,0.0,0.0504201680672269,0.053475935828877,0.099264705882353,0.119407894736842,0.0,0.0526315789473684,0.0902406417112299,0.0,0.0902406417112299,0.0537525354969574,0.0620404411764706,0.0,0.0,0.0,0.0661764705882353,0.0,0.0,0.114583333333333,0.0588235294117647,0.114583333333333,0.0709033613445378,0.0576852559205501,0.051150895140665,0.0,0.0661764705882353,0.989254433391003,0.0,0.0,0.0709033613445378,0.0,0.0579885800474036,0.0514705882352942,0.0549019607843137,0.0620404411764706,0.056644880174292,0.0,0.114583333333333,0.0,0.0709033613445378,0.0,0.0763574660633484,0.0,0.0577854671280277,0.0524642289348172,0.0,0.0533088235294118,0.0,0.0,0.0,0.0,0.0,0.114583333333333,0.0,0.0,0.0,0.0490196078431372,0.0,0.0501089324618737,0.0,0.0661764705882353,0.0902406417112299,0.0709033613445378,0.0,0.0516934046345811,0.0,0.0504201680672269,0.106617647058824,0.0504201680672269,0.051983584131327,0.0827205882352941,0.0541006787330316,0.0709033613445378,1.0,1.0,0.0,0.0,0.0,1.0,cal_AbsoluteDiff
8,cal_Diff,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/cal_Diff,0.205714285714286,0.125,0.198051948051947,0.0,0.126984126984127,0.0,0.188775510204082,0.134920634920635,0.126600284495021,0.125,0.0,0.0615842490842491,0.204081632653061,0.0,0.0,0.0714285714285714,0.062111801242236,0.0699404761904762,0.0,0.0,0.0844155844155844,0.176470588235294,0.0714285714285714,0.214285714285714,0.0,0.0,0.0,0.0,0.183673469387755,0.0649350649350649,0.0928571428571429,0.140601503759399,0.0676691729323308,0.255639097744361,0.0844155844155844,0.134920634920635,0.0844155844155844,0.0652709359605911,0.133928571428571,0.133928571428571,0.0,0.0,0.0619047619047619,0.0,0.0,0.202380952380952,0.0714285714285714,0.202380952380952,0.137755102040816,0.0700463821892394,0.195652173913044,0.0,0.133333333333333,0.0709033613445378,0.133928571428571,0.0,0.0663265306122449,0.0,0.0704147043432757,0.1875,0.133333333333333,0.116071428571429,0.137566137566138,0.0,0.202380952380952,0.0,0.867346938775507,0.0,0.0714285714285714,0.0,0.140336134453781,0.127413127413127,0.0,0.0647321428571428,0.0676691729323308,0.0,0.0,0.0,0.0,0.202380952380952,0.0,0.0,0.0,0.0595238095238095,0.0,0.121693121693122,0.0,0.123809523809524,0.0844155844155844,0.137755102040816,0.0,0.125541125541125,0.0,0.183673469387755,0.0627705627705628,0.122448979591837,0.0631229235880398,0.0773809523809524,0.131387362637362,0.137755102040816,0.0,0.0,0.0,0.0,0.0,0.0,cal_Diff
9,cal_DividedDiff,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-Java/Java dot files - from Kanewala/cal_DividedDiff,0.0746666666666667,0.116666666666667,0.059090909090909,0.0,0.0592592592592593,0.0,0.0293650793650794,0.0,0.0590801327643433,0.116666666666667,0.0,0.0287393162393162,0.0,0.0,0.0,0.0717948717948718,0.0405797101449276,0.0,0.0,0.0,0.0848484848484849,0.109803921568627,0.0717948717948718,0.0,0.0,0.0,0.0,0.0,0.0888888888888888,0.0424242424242424,0.0933333333333333,0.0933333333333332,0.0,0.0596491228070174,0.0848484848484849,0.0,0.0848484848484849,0.0304597701149425,0.116666666666667,0.0,0.0,0.0,0.0622222222222222,0.0,0.0,0.103703703703704,0.0405797101449276,0.103703703703704,0.133333333333333,0.0326883116883117,0.0579710144927537,0.0,0.124444444444444,0.0549019607843137,0.0,0.0,0.0666666666666667,0.0,0.0657203907203907,0.0291666666666666,0.875555555555541,0.116666666666667,0.0691358024691357,0.0,0.103703703703704,0.0,0.133333333333333,0.0,0.0717948717948718,0.0,0.0654901960784314,0.0594594594594594,0.0,0.0302083333333333,0.0,0.0,0.0,0.0,0.0,0.103703703703704,0.0,0.0,0.0,0.0388888888888889,0.0,0.0691358024691357,0.0,0.0622222222222222,0.0848484848484849,0.133333333333333,0.0,0.0585858585858586,0.0,0.0888888888888888,0.0292929292929293,0.0666666666666667,0.0294573643410853,0.0777777777777778,0.0919711538461537,0.133333333333333,1.0,0.0,0.0,0.0,0.0,0.0,cal_DividedDiff
