,dot_name,FM_1,FM_12,FM_65,FM_53,FM_55,FM_20,FM_48,FM_59,FM_35,FM_95,FM_43,FM_69,FM_100,FM_46,FM_7,FM_96,FM_45,FM_29,FM_16,FM_47,FM_6,FM_91,FM_99,FM_63,FM_82,FM_51,FM_75,FM_18,FM_21,FM_98,FM_4,FM_73,FM_15,FM_24,FM_71,FM_14,FM_36,FM_13,FM_78,FM_42,FM_37,FM_83,FM_93,FM_64,FM_66,FM_2,FM_31,FM_74,FM_30,FM_27,FM_77,FM_17,FM_56,FM_41,FM_8,FM_34,FM_19,FM_57,FM_52,FM_68,FM_87,FM_10,FM_97,FM_11,FM_33,FM_61,FM_9,FM_49,FM_67,FM_58,FM_39,FM_70,FM_25,FM_60,FM_76,FM_5,FM_54,FM_90,FM_84,FM_32,FM_22,FM_85,FM_3,FM_80,FM_86,FM_23,FM_28,FM_92,FM_88,FM_26,FM_50,FM_94,FM_38,FM_40,FM_89,FM_81,FM_79,FM_72,FM_44,FM_62,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,Method_Name
1,add_values,1,0.911207198016469,0.976599815055098,0.815876176591499,0.997009030262057,0.877924893861013,0.981470265387359,0.882815577159935,0.962836138965813,0.867179073668508,0.943120597053528,0.987507682170684,0.93639047973811,0.976552098937885,0.903993438758057,0.917277023345784,0.992201704326883,0.943562145056433,0.963575495690185,0.944789143782369,0.925893815537909,0.997476998819421,0.952368673929711,0.980645382794956,0.971145243800323,0.92576582968176,0.985723734568411,0.961120932347828,0.993037527147567,0.937614936992349,0.973290688658491,0.993389259951488,0.938348912456184,0.924187854182176,0.872603227398102,0.991522662734712,0.962836138965813,0.991522662734712,0.894244390894748,0.953200687075735,0.965229463812067,0.968441750401455,0.999095453701148,0.972914335160868,0.962003857601954,0.979742976160878,0.961532291653403,0.938531179081306,0.961532291653403,0.972071949679907,0.77308828700856,0.813663258972417,0.983573744910724,0.966153072663651,0.977620752058638,0.965229463812067,0.997599483264891,0.992956823345735,0.99995785567446,0.924175349536047,0.893032449013075,0.846488080819278,0.956149844709133,0.873035273408519,0.961532291653403,0.953098963880856,0.976565601679364,0.99995785567446,0.980645382794956,0.967923029851309,0.920436632724047,0.915645451055794,0.999660953288674,0.900967988515469,0.924187854182176,0.992956823345735,0.991011461377246,0.999095453701148,0.999003047414861,0.961532291653403,0.997599483264891,0.999771973537939,0.992298898950323,0.934318970135994,0.918892526832962,0.910585269213344,0.982574834754019,0.968756394223174,0.99509490718126,0.972071949679907,0.957907583380156,0.885312233285142,0.899496144421891,0.917840887979501,0.922851879438938,0.899718260145444,0.878227895048772,0.999746220716577,0.81316638431529,0.972431805316284,1,1,1,1,1,1,add_values
2,array_calc,0.979742976160878,0.96692026044959,0.998093100853344,0.894619218745428,0.96646009512777,0.947876723303102,0.996331728062937,0.946949076461001,0.996539654495702,0.93560164702037,0.987811688354759,0.998061210579903,0.981722907133203,0.999703041183287,0.961466317326445,0.969921602474978,0.996815649025228,0.984313940311353,0.996577287185025,0.987271492990791,0.97378361477283,0.990162297981511,0.993170521164295,0.995852701954607,0.998882195302434,0.972246530754844,0.998533972532923,0.995437579373051,0.994454921614863,0.98621034188408,0.99685706656361,0.995565220929463,0.983820325717231,0.974439829021674,0.936996453045934,0.99429359223435,0.996539654495702,0.99429359223435,0.955559785722039,0.991794465359692,0.997211474755497,0.99288750202806,0.986139245060431,0.996395945546236,0.993953505966369,1,0.993772366442999,0.984168684917182,0.993772366442999,0.99734893694907,0.861365889150992,0.892652213193479,0.998377035940955,0.995706429239269,0.997625590446531,0.997211474755497,0.989388571052756,0.994401069098983,0.980558054628318,0.975586334526043,0.954213639151299,0.919042622203686,0.992020457025288,0.938470072925428,0.993772366442999,0.99028393723232,0.999712001706948,0.980558054628318,0.995852701954607,0.992651289029216,0.974104291701283,0.967788996964984,0.977864589805257,0.959456138720914,0.974439829021674,0.994401069098983,0.996058348025064,0.986139245060431,0.984715440508895,0.993772366442999,0.989388571052756,0.981433336623353,0.994772373228854,0.979081669815996,0.970459649109681,0.969102518640248,0.9986898972245,0.998209853431905,0.962590133575198,0.99734893694907,0.993787139984951,0.953025388982742,0.956980478586528,0.97316239979515,0.972381580846392,0.963077756662988,0.945226436570472,0.982821948485288,0.892943688018167,0.997433627898982,1,1,0,0,0,1,array_calc
3,array_copy,0.992298898950323,0.941306822923705,0.992667418034826,0.855351076768498,0.984485997070795,0.915916723360235,0.992598106968556,0.916315819374214,0.985266091947878,0.903226001022588,0.970772722160535,0.998612713907348,0.962670253358184,0.993729262734692,0.934223678597931,0.945997389766507,0.998322962941035,0.966776803634536,0.984697879976392,0.971394234548894,0.953137723498933,0.996506032501064,0.978471819192953,0.989985041720384,0.991259525108951,0.950538813751012,0.996456170130855,0.982857681750554,0.999837778998613,0.966677489113816,0.989667169685495,0.997627078368855,0.964450024319248,0.951070047725216,0.905711264360284,0.99458116841225,0.985266091947878,0.99458116841225,0.92732946704789,0.97597271635316,0.987037582904409,0.982913324148656,0.995448550227378,0.98824298855842,0.982974713685281,0.994772373228854,0.981265520910378,0.96464372762638,0.981265520910378,0.99026326323387,0.816637392934841,0.853081426150818,0.996986091428087,0.986761734054018,0.990343923966366,0.987037582904409,0.995814228687125,0.996519465429394,0.992838510879567,0.953789328655438,0.925328748337985,0.883608688301163,0.978029490817327,0.90769183081237,0.981265520910378,0.976857383990132,0.993743193976873,0.992838510879567,0.989985041720384,0.982376111723845,0.950767147521428,0.944228996988073,0.991261782123195,0.932133533660045,0.951070047725216,0.996519465429394,0.997225284847604,0.995448550227378,0.996051713352795,0.981265520910378,0.995814228687125,0.993905320585232,1,0.960335963082993,0.94806223627736,0.943340396496128,0.996716240068547,0.989311084325935,0.977667000137609,0.99026326323387,0.98010302767922,0.922214150202277,0.930334782607701,0.949562234767652,0.949907363147428,0.934670904616483,0.9136580490616,0.99402298089726,0.853168247007484,0.990426880690634,1,1,0,0,0,1,array_copy
4,autoCorrelation,0.973290688658491,0.978004759823782,0.99913316589017,0.91669002877612,0.956124394524333,0.961831279674619,0.998651600852038,0.961858023693288,0.998068589911939,0.952890291280449,0.99360022047539,0.995317638790619,0.990715141100739,0.997884636348148,0.973361299118368,0.98094963248364,0.993557053851824,0.99214047061046,0.998204148360502,0.993815074963882,0.984962803290812,0.986790322341678,0.995745626250078,0.996905986107668,0.997160665713157,0.983421753214327,0.996838355319975,0.998159218462269,0.990360580528786,0.991366430111049,1,0.992476347014713,0.991134472832702,0.983343776176985,0.95442422031808,0.992523917755918,0.998068589911939,0.992523917755918,0.969907589371111,0.996048383706232,0.998274354652036,0.997609360777044,0.978988247984378,0.999345301958994,0.998206133733538,0.99685706656361,0.997933197374676,0.991348202248038,0.997933197374676,0.999207559462582,0.886439488649227,0.914855142101788,0.997429680771619,0.998724336652142,0.99854411673684,0.998274354652036,0.986158580126124,0.993205807345057,0.974230766519667,0.985717952796874,0.967959022241278,0.938065627904378,0.996902403359804,0.955263942045914,0.997933197374676,0.996007241336595,0.997840733502656,0.974230766519667,0.996905986107668,0.997393305361569,0.984221009095686,0.980093099067221,0.969927185260935,0.972523529813986,0.983343776176985,0.993205807345057,0.995185366231004,0.978988247984378,0.979206112536756,0.997933197374676,0.986158580126124,0.974772492606904,0.989667169685495,0.989200835560199,0.981852985253101,0.979470221377671,0.997574739986341,0.99844674995759,0.952834379847339,0.999207559462582,0.997089989342668,0.96609438430165,0.970983688873393,0.982830503410439,0.983036771218272,0.974016074662424,0.960408732804792,0.976609399318247,0.915269160624547,0.999247594871092,0,0,0,0,0,0,autoCorrelation
5,average,0.992956823345735,0.952997477938614,0.994514245840511,0.876354958682804,0.982303745240503,0.928017279902742,0.99709824206411,0.931344708320596,0.986818515032002,0.919147388993567,0.975195882635344,0.997196410512863,0.971242810756048,0.993276357301476,0.947428256069495,0.957529751034225,0.999309510509852,0.975920534617775,0.987558307915443,0.976412614246056,0.963639755511791,0.998820384756066,0.980203968552019,0.996445172739175,0.98976617809205,0.963434491492655,0.99741209025249,0.986299745066702,0.997419693289029,0.971205050388571,0.993205807345058,0.999508894254971,0.972387324389832,0.962301826522059,0.922933785558141,0.999322910747049,0.986818515032002,0.999322910747049,0.940512805326438,0.981695519626472,0.988051672894156,0.990903067350417,0.995361928263787,0.993307114461539,0.987172245950362,0.994401069098983,0.987095370938586,0.972495052857476,0.987095370938586,0.99224740112558,0.840205113794461,0.874426527667573,0.996643170256457,0.989122077947764,0.995329684130974,0.988051672894156,0.998683460120513,1,0.993436343437416,0.962711553020358,0.939312300428361,0.901982444659414,0.983798172609063,0.923366585803992,0.987095370938586,0.981757542887176,0.993257936430126,0.993436343437416,0.996445172739175,0.990568719070076,0.960075886053226,0.956322255698085,0.991089803766561,0.945427405497901,0.962301826522059,1,0.999698027419835,0.995361928263787,0.994887329444288,0.987095370938586,0.998683460120513,0.993275143531652,0.996519465429394,0.969620503464126,0.958605044572551,0.952756722800212,0.99615912364819,0.989567626006219,0.981267228081041,0.99224740112558,0.984629927573283,0.933735381952803,0.944133995865444,0.95790464675908,0.961501991113631,0.944602605009769,0.928053575884031,0.994537939629528,0.874279039826366,0.99244541840809,1,1,1,0,0,1,average
6,bi_SearchFromTo,0.925893815537909,0.998599525549314,0.982375004971413,0.971581061312502,0.89723919098386,0.992672491297241,0.980660920912584,0.994084685559785,0.987902522667158,0.990631854015456,0.995378607209572,0.96605128269261,0.99885743298459,0.977557213559409,0.997499336179248,0.999302023415025,0.962564562197682,0.998285585227537,0.988642375912546,0.996761514123333,1,0.950289559954952,0.990048635619266,0.980752793882815,0.97796878131373,0.999135168555298,0.970216809267214,0.989702468413365,0.954539392973421,0.994809126376344,0.984962803290812,0.961306835041699,0.998249519591949,0.998099086194465,0.991206778489419,0.965610375404178,0.987902522667158,0.965610375404178,0.99668247262201,0.993530445641635,0.986602895362947,0.990263799856276,0.934908494809152,0.987322981566404,0.992236499484036,0.97378361477283,0.992248272000946,0.996851891548458,0.992248272000946,0.98570011405968,0.952607640966945,0.970485744873957,0.973551666290107,0.989023479346172,0.982162996088942,0.986602895362947,0.949673935419521,0.963639755511791,0.92721300628247,0.999344958518462,0.996190576195404,0.983582057620963,0.994630901783601,0.991874095505824,0.992248272000946,0.995444474877088,0.977463591850122,0.92721300628247,0.980752793882815,0.990603885452108,0.998769488593859,0.999418442928524,0.920318468998391,0.997602075252989,0.998099086194465,0.963639755511791,0.966735247775309,0.934908494809152,0.933619707265135,0.992248272000946,0.949673935419521,0.926781279223996,0.953137723498933,0.999559768976627,0.999650560356008,0.997871816738341,0.974102520478752,0.983181678506882,0.89966310149008,0.98570011405968,0.992721327860626,0.993926929512847,0.997550061296429,0.998589045318075,0.999526916115022,0.995504446590793,0.993299237437838,0.930970068818187,0.970727639613697,0.985523610531848,0,0,0,1,0,0,bi_SearchFromTo
7,bubble,0.903993438758057,0.999598846628816,0.969863585798125,0.98250838254018,0.871898740885665,0.997336329743968,0.967650170766573,0.998610036161559,0.978865963220276,0.996075972230969,0.989816672181644,0.949716685849237,0.994990726073345,0.965456916376134,1,0.999207303084376,0.946552558244042,0.993965255167811,0.980225568652628,0.99059633737905,0.997499336179248,0.931769806230899,0.982922853387325,0.969777857451792,0.966389610471141,0.997893762106867,0.956074720708752,0.981619792170366,0.935468319922974,0.990995132830622,0.973361299118368,0.945192565719989,0.994806676866262,0.997786083741953,0.996336661461052,0.95093125553103,0.978865963220276,0.95093125553103,0.999003018110039,0.987736400957525,0.976891463968694,0.981398836917423,0.91480445191534,0.97696702108779,0.983212626040159,0.961466317326445,0.98445099090391,0.993339990383641,0.98445099090391,0.974203796622274,0.967488888699007,0.98171337946457,0.958495124132471,0.978531771445386,0.971479761793858,0.976891463968694,0.931203359995565,0.947428256069496,0.905385299123337,0.997249699482403,0.999461839313861,0.991674364432028,0.987770968055562,0.996539323461681,0.98445099090391,0.987912779221201,0.965355665181252,0.905385299123337,0.969777857451792,0.982025260875579,0.997590298583645,0.998893038805254,0.898239104770053,0.999727686079474,0.997786083741953,0.947428256069496,0.950752745657911,0.91480445191534,0.911789850652642,0.98445099090391,0.931203359995565,0.904628205324558,0.934223678597931,0.995572973981188,0.998433974263806,0.998365038017881,0.959373686390631,0.972506632985241,0.87774443763053,0.974203796622274,0.985669816035945,0.997792176649858,0.999296894090273,0.997631641458346,0.998564126095727,0.997684735929308,0.998113062647079,0.909873153978664,0.981966269964875,0.973992009835233,1,1,1,0,0,1,bubble
8,cal_AbsoluteDiff,0.977620752058638,0.975720347923149,0.998553122414647,0.912214453559543,0.961780717686071,0.95763557334536,0.998636178269767,0.95882396668355,0.996477043499654,0.948857768423082,0.990875106489944,0.995279073683522,0.988137867199778,0.997634679097331,0.971479761793858,0.97875025094548,0.995500059038356,0.990955956753583,0.997475244660473,0.990845465059954,0.982162996088942,0.989817363931148,0.99318681642079,0.999085293192845,0.995970709486817,0.982118586993663,0.997471516676072,0.996990477902985,0.990970310650487,0.988649340584654,0.99854411673684,0.994922224397781,0.989348118995354,0.982758567435389,0.950972197930961,0.995787641477224,0.996477043499654,0.995787641477224,0.966111391473123,0.995088041597638,0.996757784210028,0.998037922268831,0.983297221193099,0.999210246774485,0.996615369691556,0.997625590446531,0.997513287779268,0.98981747190381,0.997513287779268,0.998002762926399,0.881443695735727,0.910521549750177,0.996893513806555,0.996937647700439,1,0.996757784210028,0.989449914784279,0.995329684130974,0.978484301376504,0.982470635830189,0.965125199592484,0.934348775054406,0.99564594141453,0.951442805226516,0.997513287779268,0.993782699525503,0.997606235251449,0.978484301376504,0.999085293192845,0.997869288566133,0.981208668224337,0.977281493827367,0.974886463256275,0.969819054216663,0.982758567435389,0.995329684130974,0.996245723705887,0.983297221193099,0.981577804145993,0.997513287779268,0.989449914784279,0.978430494382816,0.990343923966366,0.986251982408225,0.978721178701021,0.976153918130431,0.996990739981317,0.996878591503499,0.961777052756021,0.998002762926399,0.996206259320175,0.962239536386665,0.968117969659967,0.979308307712438,0.981257152421969,0.970761530003767,0.956785569035365,0.980669018893008,0.910722704697047,0.998078962130236,1,1,0,0,0,1,cal_AbsoluteDiff
9,cal_Diff,0.976565601679364,0.970716476305508,0.99888349408729,0.901538424580053,0.962084843119014,0.952932230460374,0.996724554904516,0.951792579136365,0.997979790372447,0.941193692009503,0.99043694724347,0.997680643755508,0.984780629606217,0.999999282009896,0.965355665181252,0.973587728771638,0.995634579189125,0.986794947524311,0.997738713171523,0.990185228073499,0.977463591850122,0.988215604350267,0.995110649287035,0.995605172305643,0.999474324002779,0.975442000101349,0.997984678314425,0.996813320503581,0.993502313217987,0.98883220622286,0.997840733502656,0.994153093652413,0.98649551420873,0.977242684850271,0.942330212962595,0.992916156914835,0.997979790372447,0.992916156914835,0.960250493987638,0.99342471618645,0.998545721972244,0.993909751215489,0.983245836584032,0.997222913914428,0.995819445859597,0.999712001706948,0.995150297740559,0.986596969183905,0.995150297740559,0.998550444004248,0.869192845755883,0.899582705859355,0.998635632642547,0.997397673848892,0.997606235251449,0.998545721972244,0.987345302986754,0.993257936430126,0.977473409581563,0.979257652340657,0.958712827912665,0.92510547407813,0.993894869731965,0.943992244288296,0.995150297740559,0.992748023111743,1,0.977473409581563,0.995605172305643,0.993660869437346,0.97767698139935,0.971728997910913,0.974378923417967,0.96368403221842,0.977242684850271,0.993257936430126,0.995318576588531,0.983245836584032,0.982341879156461,0.995150297740559,0.987345302986754,0.978470783095395,0.993743193976873,0.982444195489038,0.974442086718244,0.972997786092164,0.998983396710101,0.999210625692383,0.957485429496071,0.998550444004248,0.995444624388639,0.957750040616475,0.961461645559932,0.97698373087402,0.975820405193394,0.967142823515919,0.950282805804053,0.979909158487105,0.899925054438257,0.998599055314907,0,0,0,0,0,0,cal_Diff
10,cal_DividedDiff,0.846488080819278,0.988917073467028,0.933039102928277,0.99822252709633,0.806772118705145,0.994078040114433,0.930347536971876,0.996774392098278,0.946000290985065,0.998754575427442,0.965609385404252,0.90415920246949,0.975897483885222,0.925244303999878,0.991674364432028,0.987092213910418,0.899504036632617,0.973214322473804,0.94758072620096,0.967731807754408,0.983582057620963,0.881572277371661,0.953082793358137,0.933003538604228,0.926957280742364,0.984282369254811,0.911750557013795,0.949894134665259,0.885703386441987,0.967537727683737,0.938065627904378,0.897985688474545,0.974389990457754,0.982575570081389,0.998471011807203,0.906879787581309,0.946000290985065,0.906879787581309,0.993497389411532,0.960057012266549,0.942975598722924,0.951319369534735,0.858970041840768,0.943352466990785,0.953983391029184,0.919042622203686,0.955010995488104,0.97165725924068,0.955010995488104,0.939567861770182,0.991779729866166,0.997956719912351,0.916777715987714,0.946661984912495,0.934348775054406,0.942975598722924,0.881058426242829,0.901982444659414,0.848175295976814,0.982022451473349,0.99465261735023,1,0.9607372056857,0.998425567214276,0.955010995488104,0.962551830982092,0.92510547407813,0.848175295976814,0.933003538604228,0.952272955440942,0.98279620133558,0.988028288243417,0.838898620878821,0.992666421232129,0.982575570081389,0.901982444659414,0.906129614867538,0.858970041840768,0.85559299978562,0.955010995488104,0.881058426242829,0.846663752958352,0.883608688301163,0.978429812107358,0.986335375612781,0.986068876125192,0.917809757334828,0.936111266613561,0.816009903641204,0.939567861770182,0.956854121933037,0.99221945868521,0.993648620701426,0.983614117135591,0.985273455648717,0.987251486449954,0.996722732694281,0.85338308291669,0.998057952644525,0.939202898504979,1,0,0,0,0,0,cal_DividedDiff
