,Method_Name,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,VC_1,VC_2,VC_3,VC_4,VC_5,VC_6,VC_7,VC_8,VC_9,VC_10,VC_11,VC_12,VC_13,VC_14,VC_15,VC_16,VC_17,VC_18,VC_19,VC_20,VC_21,VC_22,VC_23,VC_24,VC_25,VC_26,VC_27,VC_28,VC_29,VC_30,VC_31,VC_32,VC_33,VC_34,VC_35,VC_36,VC_37,VC_38,VC_39,VC_40,VC_41,VC_42,VC_43,VC_44,VC_45,VC_46,VC_47,VC_48,VC_49,VC_50,VC_51,VC_52,VC_53,VC_54,VC_55,VC_56,VC_57,VC_58,VC_59,VC_60,VC_61,VC_62,VC_63,VC_64,VC_65,VC_66,VC_67,VC_68,VC_69,VC_70,VC_71,VC_72,VC_73,VC_74,VC_75,VC_76,VC_77,VC_78,VC_79,VC_80,VC_81,VC_82,VC_83,VC_84,VC_85,VC_86,VC_87,VC_88,VC_89,VC_90,VC_91,VC_92,VC_93,VC_94,VC_95,VC_96,VC_97,VC_98,VC_99,VC_100
1,add_values,1,1,1,1,1,1,0.9105254,1.2642913,1.1971351,0.6501057,-0.75055677,-1.0789139,-1.1812607,-0.42541385,-0.6464381,0.24253982,-0.79279125,-0.56308365,0.5224187,-0.13991727,-0.9991398,0.62951064,-0.80358154,1.7006224,-0.47344425,0.7009073,3.1863327,-0.45562327,-0.7983711,-0.8060559,0.60928935,-0.82288605,-0.29900908,-0.29880896,-0.52691746,-0.9333366,0.038375895,-0.5733045,-0.15056565,-0.014823392,-0.33169863,-0.47602624,0.6384934,-0.2945788,-1.3044568,-0.9723325,-0.594654,-0.3409739,-0.41510674,2.0655494,1.0950447,1.4471887,-0.59427387,0.6966444,-0.57948714,1.2472876,3.366778,1.1665374,0.8662273,-0.04101507,-0.8464581,-1.0887374,-0.96201384,0.40176654,-0.4872595,0.65773875,-0.045267396,0.7118317,-0.19030023,-0.5797513,-0.33869576,-0.49660403,-1.0340161,-0.82891494,-0.47490302,-0.8458512,0.4426179,-1.1848611,-0.53773886,0.15387267,0.6073253,-0.65079755,0.3820435,-0.53650224,-0.544557,0.9571289,0.9681511,-0.6758995,-0.5592316,-0.66920775,-0.5118784,-0.9766177,-0.46724042,1.0963346,1.3668284,0.9973588,-0.7021494,0.7458884,0.08770579,0.727421,1.4246602,-0.58581775,0.7195023,1.1993542,-0.41997746,-0.8402251
2,array_calc,1,1,0,0,0,1,0.69717133,1.378935,1.7296692,0.13250518,-0.67708725,-0.8393469,-0.912281,-0.44281438,-0.47545013,-0.27455962,-0.6321233,-0.7733839,0.6882219,-0.120930865,-0.9348646,1.7210221,-0.7119735,1.2065907,-0.5208407,0.61391497,3.476729,-0.38891608,-1.238137,-0.6588636,0.25514245,-0.9563482,-0.19655849,-0.028159203,-0.4857746,-0.71752036,0.062157754,-0.21725073,-0.026090782,0.45835388,-0.2522602,-0.530354,0.108705394,-0.09519484,-1.0688381,-0.7546955,-0.55399203,-0.32583445,-0.3241193,3.4890275,0.6015932,1.4426657,-0.6692967,0.90606046,-0.5610295,0.024929348,2.8509924,1.2338092,0.7552452,-0.21976356,-0.59865767,-1.0544657,-1.0065587,0.212146,-0.48424938,0.6884924,-0.092190094,0.34979048,0.014743206,-0.6978428,-0.36256826,-0.41904116,-0.7210687,-0.4819032,-0.52190596,-0.56751984,0.90360993,-0.9397235,-0.50249326,0.3356429,1.1640383,-0.5054477,-0.24867027,-0.55278563,-0.43277818,1.1317078,0.11428548,-0.42857566,-0.5725499,-0.87860155,-0.7244811,-0.95954275,-0.4382424,0.29353133,-0.15895744,0.61199224,-0.8259655,1.0458301,-0.028922675,1.202971,1.802908,-0.4844551,0.32651478,1.4478377,-0.18940929,-0.89661235
3,array_copy,1,1,0,0,0,1,0.740967,1.0476261,2.0462806,0.21591994,-0.6688374,-0.79182804,-0.7954391,-0.39321253,-0.43213102,-0.3725461,-0.58787435,-0.6415201,0.7261014,-0.0979949,-0.8641279,1.9378889,-0.7156644,0.9182402,-0.53925407,0.65332276,3.5179846,-0.32202798,-1.2073958,-0.63982534,-0.13495961,-0.8148703,-0.3495427,-0.09206493,-0.47895247,-0.64129347,-0.23407494,-0.76516443,-0.07262337,0.6495886,-0.23665453,-0.50302005,0.065321274,-0.1978624,-1.0443044,-0.71419334,-0.5397585,-0.28263423,-0.33129373,3.1904316,0.68299466,1.3773118,-0.66754353,0.51634926,-0.49288428,0.081744835,2.7054243,1.1194574,0.98599267,-0.1669319,-0.5134221,-1.0278302,-1.0008069,0.18309264,-0.43349904,0.7856219,-0.15642264,0.49384025,0.0076948414,-0.60831535,-0.3237546,-0.3523164,-0.69035035,-0.40932113,-0.5028951,-0.5663373,0.9637605,-0.8618519,-0.46663988,0.1720532,1.1959751,-0.54407674,-0.18621433,-0.60481817,-0.41727284,1.0649288,0.22496107,-0.38436225,-0.61750394,-0.84065926,-0.6656092,-0.8875249,-0.42617697,0.36694962,-0.095515095,0.75637394,-0.7805835,1.0636725,-0.020610547,1.0661258,1.7605617,-0.47845113,0.37337387,1.534464,-0.21913812,-0.9635899
4,autoCorrelation,0,0,0,0,0,0,1.1880862,1.5730734,0.69550985,-0.067689635,-0.66889155,-1.0335364,-1.1935879,-0.554049,-0.5698162,0.08755697,-0.722249,-0.8540162,0.15234384,-0.1789645,-0.90987796,0.72276354,-0.6261375,1.3973163,-0.035557665,0.8059054,2.5777695,-0.5011635,-0.7155684,-0.7504266,0.7772273,-0.94796914,-0.2347581,-0.26007077,-0.37709284,-0.8908692,0.43377128,0.106217705,0.11678636,-0.0915595,-0.33494484,-0.58013284,0.1568267,-0.07830855,-1.0988584,-0.78053874,-0.63262737,-0.43085542,-0.38020375,2.4500294,2.1113105,1.3030308,-0.5380429,0.8220911,-0.66930175,0.062176686,2.5062282,2.2942915,0.33982703,-0.3047146,-0.783918,-0.98108745,-0.9079013,0.16052145,-0.4299668,0.3201194,0.15580016,0.19582638,0.31359065,-0.4751615,-0.45188412,-0.58204305,-0.8530163,-0.64736235,-0.5214726,-0.7955783,0.45756042,-1.0561738,-0.46091866,1.5781939,0.8941005,-0.3941476,0.7540709,-0.28090692,-0.48049125,0.8175633,0.97776735,-0.48881036,-0.47925532,-0.7635613,-0.6826144,-1.0453787,-0.4195056,1.3498368,-0.033084825,1.02101,-0.60250777,0.9500922,-0.077785656,1.2777084,1.1469442,-0.49665037,0.32438332,1.4021723,-0.18202884,-0.7405152
5,average,1,1,1,0,0,1,0.7575183,1.7147032,0.8738985,0.29503486,-0.655608,-1.0910054,-1.3719965,-0.44547108,-0.69705826,0.47646838,-0.83858365,-0.7225218,0.2522724,-0.16476536,-1.1019436,0.4690097,-0.7792896,2.0648603,-0.47495127,0.6415661,3.3344796,-0.5290978,-0.8884151,-0.7805437,0.9937569,-1.047348,-0.15668215,-0.29148233,-0.5134825,-0.9919615,0.37778413,0.088830784,-0.17273499,-0.15159246,-0.34278074,-0.5446664,0.58523047,-0.20619054,-1.3138283,-0.98945516,-0.62552875,-0.35964632,-0.4119078,2.6577413,1.0632017,1.4795926,-0.570507,1.3501445,-0.67714316,1.0528519,3.2986522,1.222362,0.37620056,-0.14358027,-0.9609492,-1.0664588,-0.843659,0.25321552,-0.5368083,0.42464572,0.10313999,0.5043558,-0.23800373,-0.6902229,-0.3927238,-0.6323012,-1.04249,-0.9125883,-0.51060975,-0.8235371,0.41769254,-1.2781246,-0.5874833,0.1508114,0.5279424,-0.48577997,0.39033878,-0.3807783,-0.5928487,1.0439584,0.7307297,-0.6739668,-0.5242446,-0.7379939,-0.71232796,-1.0529939,-0.45116788,1.0224758,1.0833775,0.7026154,-0.81349516,0.88120604,0.03314752,0.8790941,1.6112678,-0.5743225,0.6871197,0.97912896,-0.62282056,-0.8080638
6,bi_SearchFromTo,0,0,0,1,0,0,1.4296021,1.0962263,0.43350172,-0.014425894,-0.72246474,-0.90781474,-1.0143389,-0.4864726,-0.5778787,0.0951757,-0.60264665,-0.9052837,0.48469296,-0.2082708,-0.77967364,0.34024617,-0.28134102,1.3591827,0.012935098,1.1413718,1.7564727,-0.5392846,-0.6144986,-0.79239494,0.75654477,-0.7209565,-0.19540353,-0.11360348,-0.3394914,-0.88689184,0.42820275,-0.16334376,0.07000753,-0.2881264,-0.34660533,-0.49227524,0.2456638,0.30031016,-1.082649,-0.80719703,-0.543503,-0.48282835,-0.43531197,1.6914438,2.2102404,1.3324236,-0.44625747,0.19890887,-0.39560872,0.34556475,2.738316,2.6412082,0.5901997,-0.15153559,-0.7735979,-0.94953847,-0.81707036,0.5073383,-0.4546447,0.43984568,-0.049163744,0.07199519,0.36482248,-0.3791849,-0.37374434,-0.47158664,-0.83725476,-0.6363465,-0.5060553,-0.81535304,0.020497322,-0.9829917,-0.43277043,1.919235,0.6580649,-0.4084265,0.80142707,-0.34476918,-0.39299038,0.3445584,1.3227183,-0.4820364,-0.42723352,-0.68563,-0.4324726,-0.92533803,-0.4236761,1.2249637,0.34900412,1.0663376,-0.5044657,0.79656506,0.07378138,1.1689789,0.6710052,-0.4665991,0.16321395,1.7799909,-0.028280262,-0.5812055
7,bubble,1,1,1,0,0,1,1.298953,0.5753642,1.4531529,0.06251827,-0.835605,-0.8476131,-0.7854525,-0.2817292,-0.4090019,-0.20799278,-0.51232594,-0.85257566,0.69966006,-0.17929663,-0.8087204,1.7928727,-0.323998,1.5998619,-0.42947954,0.9162666,2.807756,-0.4590993,-1.1647047,-0.7069344,0.4962596,-0.78122526,-0.24686103,0.09763442,-0.40051693,-0.764148,0.047766954,-0.54531443,0.32695878,0.346334,-0.39919776,-0.45592988,0.29357025,0.4021812,-1.0753261,-0.7990296,-0.58773535,-0.31480154,-0.41649446,2.7669833,1.0590231,2.1355815,-0.5401007,0.10094834,-0.30603188,0.21759112,3.4953616,1.4680234,0.85027295,0.0032238532,-0.7973449,-1.0876281,-1.0685307,0.46948612,-0.38104552,0.8842165,-0.26289174,0.21992208,0.1776243,-0.68157697,-0.28934634,-0.531307,-0.9218094,-0.41648751,-0.47190556,-0.58512557,0.7965151,-0.9327049,-0.49654502,0.82444286,1.3141737,-0.39040214,-0.6079867,-0.59861004,-0.53617024,0.6370487,0.09230847,-0.3848178,-0.57352614,-0.8853753,-0.6957178,-0.9692949,-0.48252586,0.42216536,-0.19067943,1.0778536,-0.7488586,0.82069075,0.046334222,1.6660691,1.0342414,-0.40407875,0.02038195,2.0012953,0.016313909,-0.72446156
8,cal_AbsoluteDiff,1,1,0,0,0,1,0.6220203,0.95121264,1.8635424,-0.024124522,-0.5486473,-0.7879257,-0.753366,-0.33234477,-0.44776276,-0.12015541,-0.5758115,-0.7219866,0.6397416,-0.1480657,-0.78020424,1.4316958,-0.6723116,0.9156152,-0.44396228,0.76119614,3.2757473,-0.43673542,-1.0538378,-0.66107726,0.06279026,-0.6424755,-0.034956954,0.1191226,-0.4701344,-0.74690646,-0.2075261,-0.75605243,-0.050709244,0.30060595,-0.33847505,-0.43176556,0.11485466,0.08248486,-1.0023797,-0.68192273,-0.41019455,-0.2580364,-0.39074406,2.838677,0.7751895,1.1690499,-0.58095086,0.7641989,-0.08193106,0.22855619,2.3084414,1.1663839,0.84746844,-0.27330586,-0.58447593,-0.94739676,-0.7659103,0.15301372,-0.4238876,0.5600021,-0.07719093,0.42037767,0.07988364,-0.4859677,-0.35492867,-0.47012466,-0.7122837,-0.45544732,-0.49549642,-0.61688596,0.7344665,-0.8770008,-0.44116744,0.39164677,0.91326505,-0.2881817,0.08047133,-0.5217684,-0.47901073,0.9193571,0.47082815,-0.28391764,-0.5889912,-0.7427918,-0.7308505,-0.89093065,-0.36451644,0.44830915,0.3548124,0.640182,-0.7540754,0.9293453,0.0389392,1.0586697,1.4828978,-0.42273524,0.34115455,1.2749338,-0.3174067,-0.8060808
9,cal_Diff,0,0,0,0,0,0,1.0506018,0.62432003,1.8376305,-0.15276863,-0.7716171,-0.93817866,-0.7968844,-0.42422247,-0.48907697,-0.03561289,-0.65046865,-0.7939372,0.30519256,-0.16857451,-0.88128656,2.1655724,-0.68372947,1.2050799,-0.62730455,0.5466971,4.0433574,-0.40862483,-1.2981285,-0.638462,-0.06903265,-0.8772668,-0.42145383,0.0749707,-0.5543,-0.6580165,-0.15572098,-0.82652843,0.014460571,0.6955625,-0.3007818,-0.52609104,0.20911065,-0.18304338,-0.98981017,-0.7362246,-0.66226506,-0.3020814,-0.35041317,3.5854812,0.47577667,1.8225011,-0.5698389,0.40717536,-0.471333,-0.048518516,2.5969954,0.9337173,0.43766832,-0.2722549,-0.68190914,-1.0752778,-1.0545452,-0.1362683,-0.4194037,0.43359384,-0.13197643,0.24412112,0.13886957,-0.7217618,-0.44175577,-0.583449,-0.75920475,-0.5187135,-0.5195431,-0.569595,1.3882798,-0.9452649,-0.4715666,0.12905239,1.174756,0.1057463,-0.20762639,-0.29102603,-0.45734653,1.12105,0.20377484,-0.37407506,-0.6533959,-0.87748194,-0.9998378,-0.91592765,-0.40380606,0.1907756,-0.30763382,0.5708617,-0.90059185,1.1602949,0.15876232,2.0497417,1.4613537,-0.4442432,0.2503775,1.3390118,0.026612777,-0.9432913
10,cal_DividedDiff,1,0,0,0,0,0,1.2376812,0.67975223,1.640196,-0.11689125,-0.84359044,-0.89469457,-0.86663574,-0.33579186,-0.45050174,0.056866605,-0.62836134,-0.9483657,0.42565426,-0.18286458,-0.8322908,2.023872,-0.49901578,1.6117544,-0.51784015,0.68514323,3.4261239,-0.46115744,-1.2248603,-0.6647102,0.4633299,-0.9117522,-0.28770843,0.10564621,-0.5096707,-0.72292227,0.15743177,-0.48689425,0.100183085,0.5785547,-0.35018796,-0.462645,0.38660312,-0.075411506,-1.0626096,-0.7307895,-0.6123019,-0.30748236,-0.37633258,3.6302679,0.7979281,1.8605328,-0.5500505,0.21293719,-0.48424348,0.10410525,2.5738344,1.2794502,0.5747844,-0.13398367,-0.7867493,-1.081632,-1.1255236,0.114449926,-0.39505938,0.61116713,-0.20669216,-0.027083723,0.17674927,-0.65034455,-0.3934661,-0.62078476,-0.86648715,-0.47889578,-0.5142857,-0.57593185,1.14414,-0.9594181,-0.47666562,0.51352274,1.3698118,-0.19189262,-0.3878742,-0.36198238,-0.4831163,0.76040274,0.06822514,-0.41230842,-0.6239099,-0.9131943,-1.0300624,-0.9393483,-0.44822413,0.39640334,-0.4569704,0.68781215,-0.8537821,1.1351584,0.21819843,1.8425221,1.2313322,-0.44790402,0.12624192,1.7180262,-0.05475012,-0.8010759
