,Method_Name,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,VC_1,VC_2,VC_3,VC_4,VC_5,VC_6,VC_7,VC_8,VC_9,VC_10,VC_11,VC_12,VC_13,VC_14,VC_15,VC_16,VC_17,VC_18,VC_19,VC_20,VC_21,VC_22,VC_23,VC_24,VC_25,VC_26,VC_27,VC_28,VC_29,VC_30,VC_31,VC_32,VC_33,VC_34,VC_35,VC_36,VC_37,VC_38,VC_39,VC_40,VC_41,VC_42,VC_43,VC_44,VC_45,VC_46,VC_47,VC_48,VC_49,VC_50,VC_51,VC_52,VC_53,VC_54,VC_55,VC_56,VC_57,VC_58,VC_59,VC_60,VC_61,VC_62,VC_63,VC_64,VC_65,VC_66,VC_67,VC_68,VC_69,VC_70,VC_71,VC_72,VC_73,VC_74,VC_75,VC_76,VC_77,VC_78,VC_79,VC_80,VC_81,VC_82,VC_83,VC_84,VC_85,VC_86,VC_87,VC_88,VC_89,VC_90,VC_91,VC_92,VC_93,VC_94,VC_95,VC_96,VC_97,VC_98,VC_99,VC_100
1,add_two_array_values(sum_labeled),0,0,0,0,0,0,0.46121374,1.4189895,-0.053185485,-0.09446092,-0.6780888,-0.96728987,-1.0198638,-0.51995,-0.22571951,-0.10948355,-0.595326,-1.0476116,-0.1475237,-0.29525468,-0.78152776,0.40839213,-0.3755727,1.4835434,-0.42322168,0.79561985,2.4147763,-0.6315451,-0.8072143,-0.58907425,0.54709214,-0.78088266,-0.11389925,0.056003395,-0.4496463,-0.751675,0.11217989,0.42201102,0.04384103,-0.24320611,-0.08075663,-0.44507244,0.59888524,0.31812918,-0.78924483,-0.6361638,-0.5922082,-0.4288718,-0.4764297,1.8427231,0.7508746,0.9104429,-0.16762345,0.41839042,-0.29643133,0.058303162,1.9412524,1.3008798,-0.5197002,-0.47825453,-0.8956132,-0.8459453,-0.8487017,0.206178,-0.29730308,-0.2607434,0.039866075,-0.28907174,-0.2568267,-0.7414721,-0.5356391,-0.7906014,-0.93720835,-0.6992649,-0.4529526,-0.618083,0.40347615,-0.74231917,-0.59567267,1.0198615,1.0585953,0.16132276,-0.52444935,-0.27533707,0.04381706,0.14272115,-0.114863954,-0.43308783,-0.27990556,-0.59945875,-0.5947201,-0.9209447,-0.5252584,0.32617503,-0.01644881,0.37026805,-0.65255815,0.2825307,-0.10794259,1.0169115,0.40284172,-0.38008845,0.1273362,0.43165556,-0.018725088,-0.40985632
2,add_values,1,1,1,1,1,1,0.43274388,0.1031068,0.11394569,0.8436132,-0.63945603,-1.2167637,-1.171923,-0.35973933,-0.408908,0.46615332,-0.8993753,-1.0318493,-0.10765453,-0.37084034,-0.8826101,-0.28567994,-0.7422216,1.18015,-0.25555032,0.25851554,1.894388,-0.45247582,0.14233029,-0.6829747,0.6663143,-0.4646221,-0.3332905,-0.8529035,-0.44223273,-0.93182683,-0.22224349,-0.30536944,-0.19646122,-0.2948839,-0.842292,-0.3964217,0.9439963,-0.26051837,-1.3771906,-0.9930483,-0.6417675,-0.20464908,-0.53517205,0.622202,2.2061362,0.016361801,-0.2636769,-0.33376604,-0.42229503,2.089352,1.176611,1.7296815,-0.03439376,0.032863464,-0.8984008,-0.8475203,-0.8323212,0.44844818,-0.5030399,0.29186288,0.36588097,-0.4407463,-0.34372926,-0.09502214,-0.5163996,-0.45161095,-1.1859521,-1.3350857,-0.42854783,-1.1069083,-0.16647227,-1.2094767,-0.6487933,0.9355544,-0.13164845,-0.56019557,0.70971113,-0.39899334,-0.6157206,-0.4946868,1.9365432,-1.0071963,-0.5648264,-0.26144373,-0.5065518,-0.8311178,-0.5384179,1.8427206,2.4238784,0.5191991,-0.2939512,-0.06386791,-0.25139096,0.12791516,-0.42237335,-0.7600584,0.22896391,0.20522746,-0.5386823,-0.3238184
3,array_calc,1,1,0,0,0,1,0.25642815,1.1351838,0.4236005,-0.26197317,-0.6068844,-0.81674236,-1.0035135,-0.3691755,-0.26200622,-0.23101252,-0.59757024,-1.0649037,0.27477723,-0.24732685,-0.7415238,0.72718793,-0.57147324,1.25171,-0.34712282,0.9709853,2.1405325,-0.5655669,-0.67796254,-0.60661024,0.4808821,-0.67317635,-0.04746317,0.1205429,-0.39139384,-0.6369831,0.14801541,0.19739275,0.034554902,-0.030107215,-0.48321807,-0.36138532,0.53069675,0.012493344,-0.8779698,-0.66137767,-0.5140379,-0.39130467,-0.38960087,2.5492275,0.9235346,0.72675335,-0.46056426,0.5890396,-0.42225316,0.24548295,1.4614738,2.2647529,-0.10123741,-0.34642118,-0.79993093,-0.8033703,-0.81741434,-0.015414117,-0.5094753,0.106392354,-0.03152181,-0.40545857,0.013999665,-0.6573269,-0.50854814,-0.5728536,-0.84534466,-0.6928117,-0.5229298,-0.60236245,0.47990444,-0.74623543,-0.5258661,0.98431766,0.8264217,-0.22312066,-0.10035651,-0.38767165,-0.30742213,0.27397862,0.3977229,-0.3882218,-0.38431895,-0.71539134,-0.6603214,-0.8268875,-0.4768796,0.55682695,-0.08316195,0.34389785,-0.59767544,0.6549083,0.22869799,0.9984908,0.45217133,-0.46599025,-0.07878435,0.5946386,0.0057224073,-0.40872648
4,array_copy,1,1,0,0,0,1,0.24247298,0.54942244,0.5442797,-0.14282405,-0.47908545,-0.6859026,-0.8272579,-0.22210626,-0.11903957,-0.44507074,-0.55475193,-0.90139264,0.035214044,-0.24480504,-0.6921765,0.6143549,-0.5407445,0.31278118,-0.21405225,0.8365207,1.1906531,-0.42375332,-0.35652086,-0.5375046,-0.11559593,-0.37886018,-0.44155213,-0.40394935,-0.28399935,-0.52794456,-0.33439827,-0.6197855,0.022642445,0.11453855,-0.5410352,-0.48629302,0.12603708,-0.10398699,-0.9412511,-0.5927042,-0.52234066,-0.39162627,-0.4350518,1.1929793,2.4119737,0.08511539,-0.42035627,-0.23531036,-0.3645982,0.21092033,0.6584103,3.1418736,0.12609954,-0.28067276,-0.64627403,-0.61263156,-0.5922196,-0.13239191,-0.48595265,0.21842763,0.25421876,-0.36864775,0.13027874,-0.101357006,-0.4420422,-0.40028462,-0.78846353,-0.66720104,-0.49976876,-0.78157926,-0.12880364,-0.6432476,-0.4434325,1.7946299,0.41539952,-0.56632286,0.6369146,-0.41250047,-0.25384745,-0.13337988,1.3508757,-0.43459815,-0.45689818,-0.5100744,-0.36791813,-0.69759977,-0.44528794,1.3697515,0.111031845,0.59397656,-0.3106625,0.62530977,-0.052612796,0.3219412,0.0879362,-0.53200954,-0.046920437,0.43688583,-0.209319,-0.36540177
5,autoCorrelation,0,0,0,0,0,0,0.80165726,1.1495674,0.1099006,-0.23938094,-0.6286457,-0.93894464,-1.2287391,-0.4887798,-0.3510821,-0.13907191,-0.708175,-1.1167657,-0.1724137,-0.28323272,-0.8053547,0.30744293,-0.5848357,0.9566068,-0.09791874,0.80118495,2.0604043,-0.5412207,-0.29563722,-0.6802191,0.72139835,-0.7988006,-0.12611146,-0.0851981,-0.37371033,-0.78781563,0.34715083,0.3034997,0.06873188,-0.21289687,-0.54724485,-0.4943707,0.17167187,-0.035648853,-1.0108222,-0.68542045,-0.611635,-0.4007919,-0.41414136,2.0329762,2.445264,0.5177621,-0.4285268,0.4154094,-0.5153493,0.06724924,1.3331529,2.7053542,-0.3366496,-0.30461648,-0.81622356,-0.86150146,-0.90004635,0.12459736,-0.41267747,-0.0073016062,0.2828518,-0.39735946,0.13415334,-0.396173,-0.5910062,-0.66747177,-0.93134594,-0.8391204,-0.5086439,-0.80878824,0.3738756,-0.90854234,-0.5340052,2.1318345,0.8172559,-0.24868155,0.51190627,-0.24296433,-0.3877555,0.16236788,1.0540179,-0.5612134,-0.4098453,-0.6313854,-0.72015846,-0.94610304,-0.4879732,1.3399825,-0.10738867,0.78215116,-0.50679713,0.5711487,0.022730224,1.0013845,0.29051468,-0.5258181,-0.037414655,0.65808964,-0.028705275,-0.41539288
6,average,1,1,1,0,0,1,0.41917282,1.3475069,-0.089995384,0.581117,-0.6429083,-1.1811358,-1.4908029,-0.42446128,-0.5048017,0.5877516,-0.92704743,-1.1841627,-0.09236267,-0.33018693,-0.9835644,-0.3375985,-0.73111516,1.9771348,-0.2735178,0.672166,2.278655,-0.58160686,-0.14474438,-0.70723057,1.3722916,-0.82389635,0.09984,-0.73797953,-0.41496813,-1.0416996,0.47187844,0.83911824,-0.24921909,-0.47615898,-0.72208744,-0.34549108,1.0006448,-0.10932199,-1.406446,-1.0132327,-0.5972043,-0.23254801,-0.49223277,2.0524542,1.5237874,0.27805105,-0.2971543,0.73027104,-0.5584832,1.87038,1.6232555,1.6243064,-0.2626323,-0.086698905,-1.033047,-0.92775047,-0.8828194,0.5840264,-0.55371964,0.1543266,0.2264715,-0.4497459,-0.39539406,-0.51088816,-0.54982144,-0.5962758,-1.1721296,-1.2837534,-0.47150797,-0.94911724,-0.10823139,-1.278798,-0.68466866,0.53655,0.13450854,-0.67370534,0.3473817,-0.40774375,-0.61257446,-0.0449948,1.1940937,-0.8689813,-0.4578222,-0.47959334,-0.7162788,-0.9960269,-0.5244049,1.515422,1.9805621,0.4405688,-0.5356868,0.21456231,-0.18702996,0.09179309,0.17544492,-0.68367624,0.2160009,0.44999874,-0.79698133,-0.33935067
7,bi_SearchFromTo,0,0,0,1,0,0,0.9972665,0.86582536,0.06581554,-0.14346704,-0.67324793,-0.99114114,-1.0564574,-0.57209116,-0.3659752,-0.11691562,-0.644961,-1.1560949,0.12531126,-0.2592576,-0.84545684,-0.05876268,-0.2579584,1.0218222,-0.17063907,1.0534543,1.5049709,-0.5801319,-0.36907864,-0.70637333,0.36471778,-0.7127872,-0.12832959,-0.17562146,-0.41716737,-0.79344374,0.14422439,-0.05561633,0.030540826,-0.35285568,-0.41823748,-0.51957333,0.19280094,0.4104403,-1.0139914,-0.72875637,-0.5227886,-0.46352044,-0.45978406,1.5572902,2.181131,0.7997038,-0.36069614,-0.08268155,-0.29656783,0.04895042,2.2898865,2.7913299,-0.14256649,-0.16362537,-0.8657422,-0.8629104,-0.7254509,0.47973156,-0.47017172,0.1501378,0.11902626,-0.3852299,0.014136972,-0.3219328,-0.5644668,-0.57025045,-0.91814876,-0.8466907,-0.5133674,-0.79494005,-0.14673547,-0.8376805,-0.5528639,2.2605195,0.51281196,-0.25736403,0.42419627,-0.3046176,-0.175652,-0.076605625,1.1869408,-0.6057162,-0.3363352,-0.588481,-0.39813924,-0.862272,-0.5125683,0.947454,0.26369104,0.81719524,-0.47164533,0.42805624,-0.20900843,0.87214476,0.05211355,-0.50607586,-0.13578752,0.8205237,0.07037826,-0.4428178
8,bubble,1,1,1,0,0,1,0.93884635,0.29485905,0.81284946,-0.27751034,-0.7787223,-0.9209187,-0.6719884,-0.3621501,-0.12321304,-0.30486748,-0.54118985,-1.004986,0.0998504,-0.2780533,-0.58315074,1.4306799,-0.13961542,0.69892764,-0.41327372,0.58736885,2.4177303,-0.49081662,-0.7929296,-0.5139503,0.2767735,-0.4745958,-0.33064497,0.41702625,-0.43509683,-0.583764,-0.21267632,-0.6595048,-0.009111522,0.31161058,-0.37579966,-0.32573316,0.23465583,0.23530121,-0.7280374,-0.564297,-0.5171183,-0.3062053,-0.41359168,2.0981278,0.8218771,1.0583191,-0.39306736,-0.35451338,-0.20599972,-0.021059588,1.2394624,1.3701601,-0.12734434,-0.35667393,-0.69898844,-0.81744844,-0.98134154,-0.18054545,-0.32973272,0.06652704,-0.21397842,-0.38441363,0.024809398,-0.6035082,-0.49120536,-0.59541136,-0.8370035,-0.54472893,-0.46154156,-0.60398775,0.8904157,-0.5929813,-0.47033763,1.0577523,1.0902874,-0.02232789,-0.48168766,-0.48561695,-0.1978414,0.06423991,0.18691267,-0.35013306,-0.5011645,-0.707518,-0.57823277,-0.7613337,-0.47880012,0.3818715,-0.09198329,0.4853372,-0.57643914,0.47614145,0.06483804,1.4796747,0.10188925,-0.39154416,-0.14655602,0.7471379,0.37164256,-0.46628174
9,cal_AbsoluteDiff,1,1,0,0,0,1,0.4679865,0.8431398,0.21755946,-0.25095284,-0.46013063,-0.6932761,-0.70408046,-0.22750627,-0.03739977,-0.27614912,-0.4727334,-0.9074803,0.048134595,-0.22346461,-0.4824502,0.37156945,-0.49096194,0.38553932,-0.20603323,1.2212826,1.3213981,-0.501648,-0.42597306,-0.51143813,0.013675738,-0.15520547,-0.38697585,-0.28801307,-0.289943,-0.67636615,-0.30510935,-0.6162764,0.061430424,-0.17417921,-0.46459126,-0.2688342,0.21718459,0.4992755,-0.7682362,-0.57469165,-0.45782268,-0.22457817,-0.45621827,0.70977646,1.304935,0.12701218,-0.34292188,-0.096010655,0.41697764,0.33200938,0.62013954,2.1945608,0.03872706,-0.37954223,-0.6093945,-0.63749194,-0.5238922,-0.12995966,-0.3857329,0.009597196,-0.07475828,-0.29317105,0.09282285,-0.4586191,-0.41767943,-0.49928308,-0.74234605,-0.46871626,-0.41956857,-0.62195283,-0.044956952,-0.513107,-0.38039714,1.2381184,0.55242914,-0.40365857,0.17142063,-0.516795,-0.20380493,-0.12533396,0.85307676,-0.2082772,-0.4071808,-0.5098232,-0.27888086,-0.7237199,-0.37351125,0.946236,0.7363473,0.758076,-0.35714486,0.37367526,-0.037810534,0.24339372,-0.049001083,-0.3438477,-0.06990868,0.72381157,-0.21578163,-0.19014934
10,cal_Diff,0,0,0,0,0,0,0.4586601,0.17381357,0.81212956,-0.23781396,-0.63360363,-0.8266532,-0.6882924,-0.32588425,-0.16672307,-0.34224987,-0.5100391,-0.9787053,0.15119866,-0.24598172,-0.55566907,1.2864659,-0.5338458,0.5866963,-0.37121826,1.212394,2.0850022,-0.4817409,-0.59874463,-0.59737843,0.04511993,-0.33241722,-0.3659022,0.28763962,-0.41214383,-0.55426025,-0.43024844,-0.8030634,0.09117194,0.29005226,-0.53407425,-0.31425005,0.42086715,-0.12175433,-0.75154346,-0.5963516,-0.5449581,-0.30057958,-0.40463358,1.8950251,1.0730102,0.7184171,-0.4009692,-0.09987538,-0.22041774,0.25263193,0.71706027,2.1324449,0.10646164,-0.35645643,-0.65300584,-0.79559314,-0.7897491,-0.19842127,-0.34817222,0.13374929,-0.13476214,-0.36430725,0.18629621,-0.5650327,-0.5139104,-0.49922663,-0.78829885,-0.5265094,-0.47253296,-0.6245447,0.92367643,-0.5411019,-0.41891435,1.044731,0.9587254,-0.09853179,-0.0012167171,-0.54593927,-0.20425273,0.27450678,0.8692783,-0.27973753,-0.4777168,-0.61996037,-0.66521144,-0.7084225,-0.41560274,0.61318266,-0.12028745,0.69762534,-0.47358578,0.61203724,0.2141499,1.1773063,0.19144918,-0.3992509,-0.111768134,0.8422981,0.41458791,-0.44864652
